PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:						
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE TITULOS EN BIBLIOTECA	NRO DE BIB	PRESTAMOS 0 
		López Ramírez. JH. La alegría de leer electrocardiograma. Bogotá: Celsus. 2012.	COMPLEMENTARIA	9	25146	
Cuidados de Enfermería en Salud Mental	402	Johnson B. Enfermería psiquiátrica y salud mental. Madrid: McGraw-Hill. 4ª Edición.	OBLIGATORIA	0	0	
		Pichot P. Diagnóstico, evaluación y tratamiento de los trastornos psiquiátricos graves. Madrid: Aula Médica ediciones. 2005	OBLIGATORIA	0	0	
		Rebraca L. Enfermería psiquiátrica y de salud mental; conceptos básicos. Madrid: McGraw-Hill 6° Edición	COMPLEMENTARIA	1	22328	
Cuidados de Enfermería en el Ciclo del Niño y Adolescente	402	Cornejo EV. CMS. Nutrición del ciclo vital. Santiago: editorial Mediterráneo, 2014.	OBLIGATORIA	13	25125	
		Meneghello Rivera J. Diálogos en Pediatría. Santiago: Mediterráneo. C1992.	OBLIGATORIA	13	24623	
		Casassas SR. CSMC. JPS. Cuidados básicos del niño sano y enfermo. Santiago: Universidad Católica de Chile. 4° edición. 2012	COMPLEMENTARIA	0	0	
Seminario de Licenciatura II	402	García JA. Introducción a la metodología de la investigación en ciencias de la salud. México: McGraw-Hill. 2011	OBLIGATORIA	6	25216	
		Díaz VP. Metodología de la investigación científica y bioestadística. 2° Edición. RIL Editores. 2014	OBLIGATORIA	11	25185	
		Martínez P. Manual básico de investigación científica. 2° Edición. Universidad Anahuac. 2011	COMPLEMENTARIA	3	25229	
Formulación y ejecución de proyectos en salud	402	Sapag Chian N. Proyectos de inversión: Formulación y evaluación. Santiago: Prentice Hall.2011.	OBLIGATORIA	0	0	
		Pichardo Muñiz A. Planificación y programación social: bases para el diagnóstico y formulación de programas y proyectos sociales. Buenos Aires: Lumen. 2008.	OBLIGATORIA	0	0	
		Chiavenato I. Administración: teoría, proceso y practica. Bogotá: McGraw-Hill 2001	COMPLEMENTARIA	0	0	
		Chiavenato I. Introducción a la Teoría General de la Administración. México: Mcgraw-Hill. 2013.	COMPLEMENTARIA	3	26091	
		Robbins, S & Coulter M. Administración. México: Pearson Educación. 2005.	COMPLEMENTARIA	4	22429	
		Villalobos, J. Gestión sanitaria para profesionales de la salud. España: Mcgraw-Hill Interamericana. 2007.	COMPLEMENTARIA	7	24675	
Práctica de Cuidados de Enfermería En Urgencias, Emergencias y Desastres	501	Jiménez Murillo L. Medicina de urgencias y emergencias: Guía diagnostica y Protocolos de actuación. Madrid: Elsevier. 2004.	OBLIGATORIA	1	26234	
		National Association of Emergency Medical Technicians. Advanced Medical Life Support Commttee. AMLS. Soporte Vital Avanzado: basado en la valoración del paciente. AMsterdam: ELsevier.2012.	OBLIGATORIA	5	23981	
		Mosquera González JM. Galdos Anuncibay P. Farmacología clínica para Enfermería. Madrid: McGraw-Hill Interamericana.2005.	OBLIGATORIA	7	22327	
		Porth CM. Fisiopatología: Salud-Enfermedad: un enfoque conceptual. Buenos Aires: Médica Panamericana. 2010	OBLIGATORIA	10	24622	
		NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	COMPLEMENTARIA	18	25140	
		Brunner & Suddarth. Enfermería medicoquirúrgica. Barcelona: Walter Kluwer.2012. v.1. v. 2.	COMPLEMENTARIA	8	24642	
		López Ramírez. JH. La alegría de leer electrocardiograma. Bogotá: Celsus. 2012.	COMPLEMENTARIA	9	25146	
Práctica de enfermería en salud comunitaria	501	Zurro M, Cano Pérez A, Badia J G. Atención Primaria: Principios, Organización y Métodos En Medicina de Familia Barcelona: Elsevier; 2014.	OBLIGATORIA	2	26101	0
		Zurro M, Jodar Solá G. Atención Familiar y Salud Comunitaria: Conceptos y Materiales para docentes y Estudiantes Barcelona: Elsevier; 2011	OBLIGATORIA	4	26092	
		Jaffe M, Skidmore-Roth L. Enfermería en Atención Domiciliaria:Valoración y Planes De Cuidado Madrid: Harcout-Brace; 1998.	COMPLEMENTARIA	1	21077	0
		NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	COMPLEMENTARIA	18	25140	
		Klainberg M, Holzemer S, Leonard M, Arnold J. Enfermería Comunitaria: Una Alianza Para la Salud Bogotá: Mc Graw Hill; 2001.	COMPLEMENTARIA	2	21076	
Práctica Cuidados de Enfermería En el Ciclo Vital del niño y Adolescente	501	NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	OBLIGATORIA	18	25140	
		Mattson S. Enfermería maternoinfantil. México: McGaw-Hill Interamericana. 2001	OBLIGATORIA	4	21099	
		Wilson D. Manual de enfermería pediátrica de Wong. México: McGraw-Hill. 2009	OBLIGATORIA	9	24809	
		Meneghello Rivera J. Diálogos en Pediatría. Santiago: Mediterráneo. C1992.	COMPLEMENTARIA	13	24623	
		Kliegman RT. Nelson, Tratado de pediatría. Barcelona: Elsevier.2013.	COMPLEMENTARIA	4	25319	
Electivo Enfermería Informática	501	Caballero Muñoz E. Proceso de enfermería e informática para la gestión del cuidado. Santiago: Mediterráneo. 2010	OBLIGATORIA	6	25303	
		Barros Vera O. Sistemas de informacion administrativa: la informatica aplicada a la administracion de organizaciones. Santiago: Uiversitaria. 1978	COMPLEMENTARIA	0	0	
Internado	502	Marriner Tomey A. modelos y teorías de Enfermería. Madrid: elsevier Masson. 2011	OBLIGATORIA	2	23175	
		Kozier B. Fundamentos de Enfermería: conceptos, proceso y práctica. Madrid: Pearson Hall. 2005.	COMPLEMENTARIA	4	22320	
