BIBLIOGRAFÍA CONSIGNADA EN EL PLAN DE ESTUDIOS - OBLIGATORIA/COMPLEMENTARIA MEDICINA												
												
												
ASIGNATURAS 	SEMESTRE	BIBLIOGRAFIA	TITULO	AUTOR	AÑO	ED.	Nro. Ejemplares	N° EJEMPLARES EN BIBLIOTECA OBLIGATORIA	N° EJEMPLARES EN BIBLIOTECA COMPLEMENTARIA	N° TITULOS EN BIBLIOTECA OBLIGATORIA	N° TITULOS EN BIBLIOTECA COMPLEMENTARIA	Disponibilidad
HISTOLOGIA	3	COMPLEMENTARIA:	Atlas de Histología	Martín-Lacave, I.	2014	1a.	0		0			0
HISTOLOGIA	3	COMPLEMENTARIA:	Histología: Atlas en color de anatomía microscópica	Sobotta & cols	1995	4a.	0		0			0
HISTOLOGIA	3	COMPLEMENTARIA:	Histología para Estudiantes. Texto dibujado de Histología Especial	Villaro, AC.	2015	1a.	0		0			0
HISTOLOGIA	3	COMPLEMENTARIA:	Wheater's Functional Histology: A Text and Colour Atlas	Young et al.	2014	6a.	5		5		1	1
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	OBLIGATORIA:	Un Sistema de Clasificación de los Diseños de Investigación en Psicología. Anales de Psicología, 1038-1059 (https://dx.doi.org/10.6018/analesps.29.3.178511)	Ato, M.L.	2013		0	0				0
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	OBLIGATORIA:	Lo Esencial en Investigación Clínica	Bottasso, Oscar	2006		0	0				0
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	OBLIGATORIA:	Introducción a la Metodología de la Investigación en Ciencias de la Salud	García, e.a.	2011		6	6		1		1
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	OBLIGATORIA:	Metodología de la Investigación Cientifíca y Bioestadística. Para Profesionales y Estudiantes de Ciencias de la Salud	Narváez, D.	2009	2a.	19	19		1		1
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	COMPLEMENTARIA:	Métodos de Investigación 1 y 2	Castañeda, JJ.	1998		0		0			0
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	COMPLEMENTARIA:	Metodología de la Investigación	Hernández Sampieri, Roberto	2014	6a.	25		25		1	1
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	COMPLEMENTARIA:	Investigación en Sistemas y Servicios de Salud	Lemus, J.	2007		0		0			0
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	COMPLEMENTARIA:	Metodología de la Investigación Cualitativa	Ruiz, O.	1999	2a.	4		4		1	1
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	COMPLEMENTARIA:	Metodología de la Investigación y Práctica Basada en la Evidencia. Consejería de Sanidad de Murcia	Soria-Aledo, V.	2012		0		0			0
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	COMPLEMENTARIA:	Técnicas Cualitativas de Investigación Social. Reflexión Metodológica y Práctica profesional	Valles, M.	1999		8		8		1	1
INGLES II	3	OBLIGATORIA:	Face2Face. Starter Workbook with Key	Redston, Chris. Cunningham Gillie 	2013	2a.	10	10		1		1
INGLES II	3	OBLIGATORIA:	New Headway. Beginner Student's Book	John & Liz Soars	2013	4a.	10	10		1		1
INGLES II	3	OBLIGATORIA:	English Pronunciation in Use Elementary: Self-Study and Classroom use	Marks, Jonathan	2007		12	12		1		1
INGLES II	3	OBLIGATORIA:	Essential Grammar in Use: A Self-Study Reference and Practice Book for Elementary Learners of English	Murphy, Raymond	2015	4a.	18	18		1		1
INGLES II	3	COMPLEMENTARIA:	Longman English Grammar Practice	Alexander, L.G.	1990		0		0			0
INGLES II	3	COMPLEMENTARIA:	New Headway Video. Beginner	Murphy J.	2003		0		0			0
INGLES II	3	COMPLEMENTARIA:	Grammar in Use	Murphy, R. & Altman, R.	1993		1		1		1	1
PSICOLOGIA MEDICA	4	OBLIGATORIA:	Psicología Médica Salud Mental	Cortese, Elisa	2004	2a.	0	0				0
PSICOLOGIA MEDICA	4	OBLIGATORIA:	Psicología Médica	De la Fuente	2008		0	0				0
PSICOLOGIA MEDICA	4	OBLIGATORIA:	Psicología Médica	Florenzano, R. y Zegers, B.	2003		0	0				0
PSICOLOGIA MEDICA	4	OBLIGATORIA:	Comunicación Clínica: Principios y Habilidades para la Práctica	Ruiz Moral R.	2015		5	5		1		1
PSICOLOGIA MEDICA	4	OBLIGATORIA:	Psychological Basis of Psiquiatría	Thambirajah M.	2005		0	0				0
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	The Medical Interview: The Three Function Approach	Cole & Bird	2014	3a.	2		2		1	1
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	The Medical Interview: Mastering Skills for Clinical Practice	Coulehan	2006	5a.	0		0			0
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	Psicología Médica	Díaz Méndez, Darío y Latorre Postigo, José Miguel	2015	1a.	2		2		1	1
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	Behavioral Science BRS	Fadem B.	2017		0		0			0
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	Psychology: The Science of Mind and Behaviour	Gross R.	2015		0		0			0
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	Psicología: la ciencia de la mente y el comportamiento	Mosser & Begun	2014		0		0			0
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	Atkinson and Hildgard's Introduction to Psychology	Nolen-Hoeksema et al.	2014		0		0			0
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	Neurociencia Cognitiva	Redolar D.	2015	1a.	1		1		1	1
PSICOLOGIA MEDICA	4	COMPLEMENTARIA:	Communication Skills for the Health care Professional: Concepts, Practice and Evidence	Van Servellen, G.	2009		0		0			0
FISIOPATOLOGIA I	4	OBLIGATORIA:	La Fisiopatología como Base Fundamental del Diagnóstico Clínico	Gutierrez, I 	2011		0	0				0
FISIOPATOLOGIA I	4	OBLIGATORIA:	Manual de Diagnóstico Etiológico	Marañón, G.	1956		0	0				0
FISIOPATOLOGIA I	4	OBLIGATORIA:	Fisiopatología y Patología General Básicas para Ciencias de la Salud	Pastrana, J.	2013		0	0				0
FISIOPATOLOGIA I	4	OBLIGATORIA:	Netter Anatomía Patológica	Buja, M.	2006		0	0				0
FISIOPATOLOGIA I	4	OBLIGATORIA:	Robbins y Cotran Atlas de Anatomía Patológica	Edward, C. Klatt, R.	2016	3a.	0	0				0
FISIOPATOLOGIA I	4	OBLIGATORIA:	Pathology: The Big Picture	Kemp, e.a.	2008		10	10		1		1
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Harrison Principios de Medicina Interna T1-2	Kasper, e.a.	2016	19a.	28		28		1	1
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Color Atlas of Pathophysiology	Stefan Silbernagl, Florian Lang	2016	3a.	0		0			0
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Introducción a la Medicina Clínica: Fisiopatología y Semiología	Laso Guzmán, F.	2015	3a.	2		2		1	1
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Medicina Interna de Farreras Rozman T1-2	López., R.	2016	18a.	12		12		1	1
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Pathophysiology of Disease: An Introduction to Clinical Medicine	McPhee., H.	2014		0		0			0
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Porth Fisiopatología. Alteraciones de la Salud. Conceptos Básicos	Sheila Grossman, Carol Mattson Porth	2014	9a.	1		1		1	1
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Davidson's Principles & Practice of Medicine	Walker, e.a.	2014	22a.	5		5		1	1
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Manual de Patología General. Sisinio de Castro	Perez Arellano, J. L.	2013	7a.	5		5		1	1
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Rapid Review Pathology	Goljan, E.	2014	4a.	2		2		1	1
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Robbins Patología Humana	Kumar, e.a.	2013		0		0			0
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Robbins & Cotran Pathologic Basis of Disease (español)	Kumar, e.a.	2015		5		5		1	1
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Compendio de Anatomía Patológica	Pardo, M.	1998		0		0			0
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Essentials of Rubin's Pathology	Reisner	2015		0		0			0
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Rubin y Strayer Patología. Fundamentos Clinicopatológicos en Medicina	Strayer, David S. Rubin, Emanuel	2017	7a.	10		10		1	1
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Rubin's Pathology: Clinico-Pathological foundations of Medicine	Rubin., S.	2014		0		0			0
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Anatomía Patológica	Stevens, A.	2001		0		0			0
FISIOPATOLOGIA I	4	COMPLEMENTARIA:	Pathology BRS	Arthur S. Schneider. Philip A.Szanto	2014	5a.	2		2		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	OBLIGATORIA:	Bates Guía de Exploración Física e Historia Clínica	Bickley	2013	11a.	5	5		1		1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	OBLIGATORIA:	Semiología Médica	Goic et al.	2018	4a.	12	12		1		1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	OBLIGATORIA:	Core Radiology	Mandell, J	2013	1a.	15	15		1		1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Semiología Médica: Fisiopatología, Semiotecnia y Propedéutica. Enseñanza-aprendizaje centrada en la persona	Argente & Alvarez	2013	2a.	10		10		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Compendio de Anamnesis y Exploración Física	Cardellach, L. et al.	2014	1a.	2		2		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Manual de Exploración Física: Basado en la Persona, el Síntoma y la Evidencia	Casado, V. et al.	2012	1a.	0		0			0
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	McLeod Exploración Clínica	Douglas et al.	2014	13	5		5		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	ECG en la Práctica	Hampton, J.	2014	6a.	5		5		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	ECG Fácil	Hampton, J.	2014	8a.	5		5		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Radiología Básica: Aspectos Fundamentales	Herring, W.	2016	3a.	8		8		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Making Sence of the ECG: A Hands-On Guide	Houghton & Gray	2014	4a.	5		5		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Harrison Principios de Medicina Interna T1-2	Kasper, e.a.	2016	19a.	28		28		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Manual de Razonamiento Clínico	Kassirer et al.	2011	2a.	1		1		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		0			0
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Introducción a la Medicina Clínica: Fisiopatología y Semiología	Laso FJ.	2015	3a.	2		2		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	DeGowin's Diagnostic Examination	Leblond et al.	2015	10a.	2		2		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Evidence Based Physical Diagnosis	McGee S.	2018	4a.	5		5		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Mosby's Diagnostic & Laboratory Test Reference	Pagana et al.	2012	13a.	2		2		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Manual de Patología General. Sisinio de Castro	Perez Arellano JL.	2013	7a.	5		5		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Exploración Clínica Práctica de Noguer-Balcells	Prieto Valtueña, J.M.	2016	28a.	5		5		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Medicina Interna de Farreras Rozman T1-2	Rozman & Cardellach, L.	2016	18a.	12		12		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Radiology 101: The Basics and Fundamentals of Imaging	Smith & Farrell	2014	4a.	0		0			0
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Rubin's Pathology: Clínicopathological Foundations of Medicine (español)	Stryer & Rubin	2017	7a.	10		10		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Semiología Médica y Técnica Exploratoria	Surós & Surós	2011	8a.	2		2		1	1
SEMIOLOGIA MEDICO - QUIRURGICA I	4	COMPLEMENTARIA:	Textbook of Physical Diagnosis: History and Examination (5 en español)	Swartz, MH	2014	7a.	7		7		1	1
NEUROCIENCIA BASICA	4	OBLIGATORIA:	Principios de Neurociencia: Aplicaciones Básicas y Clínicas	Haines, D.	2013	4a.	8	8		1		1
NEUROCIENCIA BASICA	4	OBLIGATORIA:	Principles of Neural Science	Kandel, e.a.	2013	4a.	5	5		1		1
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	Neurociencia: La Exploración del Cerebro	Bear, e.a.	2016	4a.	2		2		1	1
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	Neuroanatomy Through Clinical Cases	Blumenfeld, H.	2010		0		0			0
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	El Cerebro Humano: Libro de Trabajo	Diamond, e.a.	2014		0		0			0
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	Barr: El Sistema Nervioso Humano Una Perspectiva Anatómica	Kiernan, & R.	2014	10a.	1		1		1	1
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	Neuroanatomy: Text and Atlas	Martín, J.H.	2012		0		0			0
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	Neuroanatomía Humana: Aspectos Funcionales y Clínicos	Ojeda, e.I.	2004		1		1		1	1
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	Neuroanatomía	Puelles, L. e.	2008		1		1		1	1
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	Neuroanatomía Clínica	Snell, R.	2014		4		4		1	1
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	Neuroanatomía Clínica: Texto y Atlas	Haines, D.	2015	9a.	8		8		1	1
NEUROCIENCIA BASICA	4	COMPLEMENTARIA:	Texto y Atlas de Anatomía Prometheus T.III	Schünke, e. a.	2015	3a.	5		5		1	1
FARMACOLOGIA MEDICA I	4	OBLIGATORIA:	Goodman & Gilman's Pharmacological Basic of Therapeutics	Brunton, e.a.	2017		0	0				0
FARMACOLOGIA MEDICA I	4	OBLIGATORIA:	Goodman & Gilman. Las Bases Farmacológicas de la Terapéutica	Laurence Brunton. Bruce Chabner	2012	12a.	8	8		1		1
FARMACOLOGIA MEDICA I	4	OBLIGATORIA:	Farmacología Humana	Florez, e.a.	2014	6a.	8	8		1		1
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Manual de Washington de Terapéutica Médica	Bhat, e.a.	2017	35a.	10		10		1	1
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Principios de Farmacología: Bases Fisiopatológicas del Tratamiento Farmacológico	Golan, e.a.	2017	4a.	2		2		1	1
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Farmacología RT	Loose., R. Y.	2015		0		0			0
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Velázquez Farmacología Básica y Clínica	Lorenzo, e.a.	2008	18a.	5		5		1	1
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Manual de Farmacología Básica y Clínica de Velazquez	Lorenzo, e.a.	2012		0		0			0
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Farmacología: Texto y Atlas	Lüllmann, e.a.	2010		0		0			0
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Medical Pharmacology at a Glance	Neal, M.	2015		0		0			0
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	"Cursos ""Crash"": Lo esencial en Farmacología"	Page, B.	2013		0		0			0
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Stockley's Drug Interactions (A Source Book of Interactions, Their Mechanisms, Clinical Importance and Management)	Preston, C.	2016		0		0			0
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Rang y Dale Farmacología	Rang, e.a.	2016	8a.	2		2		1	1
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Oxford Handbook of Práctical Drug Therapy	Richards, e.a.	2011		0		0			0
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Guía de Farmacología y Terapéutica	Rodríguez, CR.	2014		0		0			0
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Pharmacology Examination and Board Review	Trevor, e.a.	2015		0		0			0
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Farmacología Básica y Clínica	Katzung, Bertram,Trevor	2016	13a.	5		5		1	1
FARMACOLOGIA MEDICA I	4	COMPLEMENTARIA:	Farmacología LIR	Whalen, e.a.	2016	6a.	2		2		1	1
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	OBLIGATORIA:	Inmunología Celular y Molecular	Abbas, Abul K., Lichtman, Andrew H.H., Pillai, Shiv.	2015	8a.	15	15		1		1
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	OBLIGATORIA:	Jawetz, Melnick & Adelberg Microbiología Médica	Karen C. Carroll et al	2016	27a.	10	10		1		1
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	OBLIGATORIA:	Microbiología Médica de Sherrys	Kenneth J. Ryan	2011	6a.	0	0				0
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	OBLIGATORIA:	Mandell, Douglas y Bennett Enfermedades Infecciosas: Principios y Práctica V.1-2	John E. Bennett, Raphael Dolin, Martín J. Blaser	2016	8a.	10	10		1		1
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	OBLIGATORIA:	Microbiología Médica	Murray Patrick R., Rosenthal Ken S., P Faller Michael A.	2017	8a.	15	15		1		1
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Micología Médica Ilustrada	Roberto Arenas Guzmán	2011	4a.	0		0			0
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Inmunología (Lippincott's Illustrated Reviews)	Doan T., Melvold R., Viselli S., Waltenbaugh C.	2013	2a.	0		0			0
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Inmunología	Male D., Brrostoff J.,Roth D., Roitt I.	2014	8a.	0		0			0
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Actualidades en Micología Médica	Méndez Lj, López R., Hernández F.	2012	1a.	0		0			0
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Inmunología de Kuby	Owen J., Punt J., Stranford Sa.	2014	7a.	0		0			0
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Inmunología. Molecular, Celular y Traslacional	Pavón Romero L., Jiménez Martinez Mc, Garcés Me	2016		0		0			0
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Roitt Inmunología. Fundamentos	Delves, Martín, Burton, Roitt	2014	12a.	0		0			0
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	COMPLEMENTARIA:	Microbiología y Parasitología Médicas	Tay J., Gutierrez M., Molina J., López R., Manjarrez M.	2012	4a.	0		0			0
BIOESTADISTICA	4	OBLIGATORIA:	Biostatistics: The Bare Essential	Streiner, David L.	2014	4a.	5	5		1		1
BIOESTADISTICA	4	COMPLEMENTARIA:	Bioestadística	Alfredo de Jesús Celis de la Rosa	2014	3a.	0		0			0
BIOESTADISTICA	4	COMPLEMENTARIA:	Bioestadística para no Estadísticos. Bases para Interpretar Artículos Científícos	Cobo, Erik	2007		5		5		1	1
BIOESTADISTICA	4	COMPLEMENTARIA:	Interpretación Fácil de la Bioestadística. La Conexión entre la Evidencia y las Decisiones Médicas	Dawson, Gail F.	2009		2		2		1	1
BIOESTADISTICA	4	COMPLEMENTARIA:	PDQ Statistics	Norman, G. S.	2007		0		0			0
BIOESTADISTICA	4	COMPLEMENTARIA:	Fundamentos de Bioestadística	Pagano, M.G.	2001		0		0			0
BIOESTADISTICA	4	COMPLEMENTARIA:	Bioestadística	Taucher, E.	2014		4		4		1	1
PSICOPATOLOGIA  MEDICA	5	OBLIGATORIA:	Texto Introductorio de Psiquiatría	Black & Andreasen	2015	6a.	0	0				0
PSICOPATOLOGIA  MEDICA	5	OBLIGATORIA:	Psicopatología y Semiologia Psiquiátrica	Ricardo Capponi Martínez	2016	12a.	10	10		1		1
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	The Psychiatric Interview	Carlat D.	2016	4a.	0		0			0
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Fish' Clinical Psychopathology	Casey &Kelly	2007	3a.	0		0			0
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Oxford Psiquiatría	Gelder et al.	2000		0		0			0
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Introducción a la Psicopatología	Eguiluz Uruchurtu I y Segarra Echebarría R.	2013	3a.	0		0			0
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Psiquiatría Clerkship	Ganti & Kaufman	2016	4a.	0		0			0
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	The Maudsley Handbook of Practical Psiquiatría	Owen et al.	2014	6a.	0		0			0
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Sims Síntomas Mentales: Manual de Psicopatología Descriptiva	Oyebode, Femi	2016	5a.	2		2		1	1
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Oxford Handbook of Clinical Psiquiatría	Semple & Smyth	2013	3a.	0		0			0
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Psychiatric Interviewing: The Art of Understanding	Shea, Shawn Christopher	2017	3a.	1		1		1	1
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Manual de Psiquiatría Infantil: Guía Clínica para Pediatras y Médicos Generales	Valdivia, Mario	2017		0		0			0
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Introducción a la Psicopatología y a la Psiquiatría	Vallejo Ruiloba J.	2015	8a.	5		5		1	1
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	CIE-10: Trastornos Mentales y del Comportamiento	VVAA	1993	1a.	0		0			0
PSICOPATOLOGIA  MEDICA	5	COMPLEMENTARIA:	Manual Diagnóstico y Estadístico de los Trastornos Mentales DSM5	VVAA	2014	5a.	5		5		1	1
FISIOPATOLOGIA II	5	OBLIGATORIA:	Manual de Patología General. Sisinio de Castro	Pérez, A.J.	2013		5	5		1		1
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Pathophysiology of Disease: An Introduction to Clinical Medicine	Hammer & M.	2014		0		0			0
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Harrison Principios de Medicina Interna T1-2	Kasper, e.a.	2016	19a.	28		28		1	1
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Introducción a la Medicina Clínica: Fisiopatología y Semiología	Laso, F.	2015	3a.	2		2		1	1
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Medicina Interna de Farreras Rozman T1-2	López., R.	2016	18a.	12		12		1	1
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Color Atlas of Pathophysiology	Silbernal, &.L.	2016		0		0			0
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Davidson's Principles and Practice of Medicine	Walker, e.a.	2014	22a.	5		5		1	1
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Rapid Review Pathology	Goljan, E.	2014	4a.	2		2		1	1
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Robbins Patología Humana	Kumar, e.a.	2013		0		0			0
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Robbins & Cotran Pathologic Basis of Disease (español)	Kumar, e.a.	2014		5		5		1	1
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Essentials of Rubin's Pathology	Reissner, R.	2015		0		0			0
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Pathology BRS	Schneider, Arthur-Szanto, Philip	2014	5a.	2		2		1	1
FISIOPATOLOGIA II	5	COMPLEMENTARIA:	Rubin's Pathology: Clínico-Pathological Foundations of Medicine (español)	Stryer & Rubin	2017	7a.	10		10		1	1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	OBLIGATORIA:	Bates Guía de Exploración Física e Historia Clínica	Bickley	2013	11a.	5	5		1		1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	OBLIGATORIA:	Semiología Médica	Goic et al.	2018	4a.	12	12		1		1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	OBLIGATORIA:	Core Radiology	Mandell, J	2013	1a.	15	15		1		1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	Semiología Médica: Fisiopatología, Semiotecnia y Propedéutica. Enseñanza-aprendizaje centrada en la persona	Argente & Alvarez	2013	2a.	10		10		1	1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	Compendio de Anamnesis y Exploración Física	Cardellach, L. et al.	2014	1a.	2		2		1	1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	Manual de Exploración Física: Basado en la Persona, el Síntoma y la Evidencia	Casado, V. et al.	2012	1a.	0		0			0
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	McLeod Exploración Clínica	Douglas et al.	2014	13	5		5		1	1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	ECG en la Práctica	Hampton, J.	2014	6a.	5		5		1	1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	ECG Fácil	Hampton, J.	2014	8a.	5		5		1	1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	Radiología Básica: Aspectos Fundamentales	Herring, W.	2016	3a.	8		8		1	1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	Making Sence of the ECG: A Hands-On Guide	Houghton & Gray	2014	4a.	5		5		1	1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	Harrison Principios de Medicina Interna T1-2	Kasper, e.a.	2016	19a.	28		28		1	1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	Manual de Razonamiento Clínico	Kassirer et al.	2011	2a.	1		1		1	1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		0			0
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	Introducción a la Medicina Clínica: Fisiopatología y Semiología	Laso FJ.	2015	3a.	2		2		1	1
SEMIOLOGIA MEDICO - QUIRURGICA II	5	COMPLEMENTARIA:	DeGowin's Diagnostic Examination	Leblond et al.	2015	10a.	2		2		1	1
