RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)									
									
									
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura						
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	The Body, Illnes, Experience, and the Lifeworld: a Phenomenological account of Chronic Pain, in Medicine, Rationality, and Experience. An Anthropological Perspective. Cambridge	Good, B.	1994		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	How Medicine Constructs its Objects. En Medicine, Rationality and Experience. An Anthropology Perspective. Cambridge	Good, B.	1994		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	La Némesis Médica: la Expropiación de la Salud	Illich, I.	1976		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	Pierre Bourdieu: Sociología Reflexiva para la Salud Pública. Nuevos Folios de Bioética	Kottow, M.	2013		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	Sociological Dimensions of Illnes Behavior. En: Social Science Medicine	Mechanic, D.	1995		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	Political Economy in the Medical Anthropology. En: Sargent and Johnsosn (Eds) Medical Anthropology. Contemporary. Theory and Method. Westport: Pragers Publishers, 21-40	Morsy, Soheir A.	1996		0		
SOCIOLOGIA MEDICA	6	COMPLEMENTARIA:	The Minful Body: A Prolegomenon to Future Work in Medical Anthropolgy. Medical Anthropology (New Series) I	Schepper-Hughes, Nancy & Lock, Margaret	1987		0		
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	OBLIGATORIA:	Ginecología General y Salud de la Mujer	Cuello M., Miranda V. Y Ralph C.	2017		0	0	Mismo titulo
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Limitación del Esfuerzo Terapéutico en la Situación de Enfermedad Terminal: ¿Nos puede ayudar la Bioética a tomar decisiones? Med Pal, 13(4), 174-178	Ameneiros et al.	2006		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Etica a Nicómaco (Libros 1-4 y 8-10)	Aristóteles	2010		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	El Dolor y el Sufrimiento al Final de la Vida. En Asociación de Bioética Fundamental y Clínica. La Bioética, Tarea de Humanización	Clavé E.	2007		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Los Comités de Etica Asistencial: origen, composición y método de trabajo. En C.A. (editora), Bioética para Clínicos. Págs 269-281	Couceiro A.	1999		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Métodos de Etica Clínica. En C.A. (editora), Bioética para Clínicos	Drane, J.	1999		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	El Dolor y el Sufrimiento al Final de la Vida. En Asociación de Bioética Fundamental y Clínica. La Bioética, Tarea de Humanización	Couceiro A.	2017		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Limitación de Medidas de Soporte Vital: una vez instauradas ¿Por qué no retirar?	Gómez, J.	2005		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Procedimientos de Decisión en Etica Clínica	Gracia, D	2007		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Comentarios al Código de Etica y Deontología Médica	Herranz Rodriguez, G.	1992		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Introduction to Jewish and Catholic Bioethics: A Comparative Analysis. Washington DC: Georgetown University Press.	Meckler, A.	2003		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Cuidados Paliativos en Enfermo no Oncológico Generalitat Valenciana. Atención Paliativa. Guía Práctica. En C. d. Sanidad, Generalitat Valenciana. Atención Paliativa. Guía Práctica (Vol. 67, págs. 6-7)	Navarro, M. & (s.f.)			0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Cuidados Paliativos en Enfermo no Oncológico. En: Consejería de Sanidad. Generalitat Valenciana. Atención Paliativa. Guía Práctica n.67; pp. 6-7. En C. d. Sanidad, Generalitat Valenciana. Atención Paliativa. Guía Práctica (Vol. 67, págs. 6-7)	Navarro, N. & (s.f.)			0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Contemporary Bioethics: A Reader with Cases	Randels, P. &.	2009		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Garantías Explícitas en Salud. Guía Clínica. Alivio del dolor por cáncer avanzado y cuidados paliativos	Ministerio de Salud	2005		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Documento de Voluntades Anticipadas: actitud de los pacientes de atención primaria	Santos de Unamuno, C.	2003		0		
BIOETICA APLICADA I	6	COMPLEMENTARIA:	Bioethics: Principles, Issues and Cases	Vaughn, L.	2016		0		
FARMACOLOGIA MEDICA I	4	OBLIGATORIA:	Goodman & Gilman's Pharmacological Basic of Therapeutics	Brunton, e.a.	2017		0	0	
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA I	6	COMPLEMENTARIA:	Emergencias y Paciente Crítico	Arancibia y Ugarte	2011	1a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA I	6	COMPLEMENTARIA:	Anestesiología Clínica	Herrera et al	2008	3a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA I	6	COMPLEMENTARIA:	Current Surgical Diagnosis and Treatment	Doherty, G.M.	2015	14a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA I	6	COMPLEMENTARIA:	Cirugía AEC	Parrilla Paricio y Landa García	2010	2a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA I	6	COMPLEMENTARIA:	Andreoli's and Carpenter's Cecil Essentials of Medicine	Benjamín, I.	2015	9a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA I	6	COMPLEMENTARIA:	Differential Diagnosis	Raftery et al	2014	4a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA I	6	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA I	6	COMPLEMENTARIA:	Radiology 101: The Basics & Fundamentals of Imaging	Smith & Farrell	2014	4a.	0		
SEMIOLOGIA MEDICO - QUIRURGICA II	5	OBLIGATORIA:	Goodman & Gilman's Pharmacological Basic of Therapeutics	Brunton, e.a.	2017		0	0	Mismo titulo
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Pathophysiology of Disease: An Introduction to Clinical Medicine	Hammer & McPhee	2014	7a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Color Atlas of Pathophysiology	Silbernal, &.L.	2016	3a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Mayo Clinic Essential Neurology	Adams, A.	2008	1a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Syllabus de Neurocirugía	Alvarez, V. & Antuña, R.	2016	1a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Clinical Neurology	Aminoff et al	2015	9a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Neurología Práctica	Biller, J.	2013	1a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Neuroanatomy Through Clinical Cases	Barinagarrementeria	2014	1a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Neuroanatomy Through Clinical Cases	Blumenfeld, H.	2010	2a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Neurological Clinical Examination Made Easy	Fuller, G.	2013	5a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Handbook of Neurosurgery	Greenberg et al	2016	8a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Neurocirugía: Un Enfoque Pragmático	López-Escobar, FM.	2010	1a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Fundamentals of Neurology	Mumenthaler et al	2006	1a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Adam and Victor's Principles of Neurology	Ropper et al	2014	10a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Neurología: Principios Básicos	Vergara, E. & Fonck, L.	2012	1a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Neurology for the non-neurologist	Weiner et al.	2010	6a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Essential Neurology	Wilkinson & Lennox	2005	4a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Neurología	Zarranz, JJ.	2013	5a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	The Psychiatric Interview	Carlat D.	2016	4a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Shorter Oxford Textbook of Psiquiatría	Cowen et al	2014	6a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Psiquiatría Clerkship	Ganti & Kaufman	2016	4a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	The Maudsley Handbook of Practical Psiquiatría	Owen et al	2014	6a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Oxford Handbook of Clinical Psiquiatría	Semple & Smyth	2013	3a.	0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Manual de Psiquiatría Infantil: Guía Clínica para Pedíatras y Médicos Generales	Valdivia, Mario	2017		0		
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	CIE-10: Trastornos Mentales y del Comportamiento	VVAA	1993	1a.	0		
SALUD PUBLICA Y GESTION	6	COMPLEMENTARIA:	Promoción de la Salud y Cambio Social	Alvarez-Dardett & Colomer	2015		0		
SALUD PUBLICA Y GESTION	6	COMPLEMENTARIA:	Salud Pública y Educación para la Salud	Frías Osuna, A.	2000		0		
SALUD PUBLICA Y GESTION	6	COMPLEMENTARIA:	An Introduction to Community & Public Health. Burlington: Jones & Bartlett Learning	Pinger & McKenzie	2014		0		
SALUD PUBLICA Y GESTION	6	COMPLEMENTARIA:	Introduction to Public Health. Burlington: Jones & Bartlett Learning	Schneider, M.	2015		0		
SALUD PUBLICA Y GESTION	6	COMPLEMENTARIA:	Public Health: What it is and how it works. Burlington: Jones & Bartlett Learning	Turnock, B.	2016		0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Hematología: Manual Básico Razonado	San Miguel y Sánchez Guijo	2015	4a.	0	0	
HISTOLOGIA	3	OBLIGATORIA:	Histología y Biología Celular	Fortoul, Teresa	2013	2a.	0	0	
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Instrumentación Quirúrgica. Principios y Prácticas	Fuller, J.	2013		0	0	
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Introducción a la Pediatría	Games EJ, et al	2013	8a.	0	0	
INGLES PARA MEDICINA I	6	COMPLEMENTARIA:	Longman English Grammar Practice	Alexander, L.G.	1990	11a.	0		
INGLES PARA MEDICINA I	6	COMPLEMENTARIA:	New Headway Video. Beginner	Murphy J.	2003		0		
BIOETICA APLICADA II	7	OBLIGATORIA:	Kaplan Medical USMLE Medical Ethics. Kaplan: New York	Oneto & Fischer	2009		0	0	
SOCIOLOGIA MEDICA	6	OBLIGATORIA:	Key Concept in Medical Sociology	Gabe, Bury, Mike, & Elston, Mary Ann	2004		0	0	
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	La Epidemia de la Obesidad y las Mujeres. Género y Salud en Cifras	González de León, D. et al	2009		0	0	
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Worst Case Bioethics: Death, Disaster, and Public Health	Annas, G.	2010		0		
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Procedimientos de Decisión en Etica Clínica	Gracia, D.	2007		0		
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Health Law & Bioethics: Cases	Johnson et al	2009		0		
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Case Studies in Biomedical Research Ethics	Murphy, T.	2004		0		
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Medical Ethics: Accounts of Ground-Breaking Cases	Pence, G.	2016		0		
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Contemporary Bioethics: A Reader with Cases	Randels & Pierce	2009		0		
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Bioethics: Principles, Issues and Cases	Vaughn, L.	2016		0		
FISIOPATOLOGIA I	4	OBLIGATORIA:	La Fisiopatología como Base Fundamental del Diagnóstico Clínico	Gutierrez, I 	2011		0	0	
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Emergencias y Paciente Crítico	Arancibia y Ugarte	2011	1a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Anestesiología Clínica	Herrera et al	2008	3a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Current Surgical Diagnosis and Treatment	Doherty, G.M.	2015	14a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Cirugía AEC	Parrilla Paricio y Landa García	2010	2a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Andreoli's and Carpenter's Cecil Essentials of Medicine	Benjamín, I.	2015	9a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Differential Diagnosis	Raftery et al	2014	4a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Radiology 101: The Basics & Fundamentals of Imaging	Smith & Farrell	2014	4a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Lecture Notes: Urology	Kaisary et al	2016	7a.	0	0	Mismo titulo
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	OBLIGATORIA:	Lo Esencial en Investigación Clínica	Bottasso, Oscar	2006		0	0	
FISIOPATOLOGIA I	4	OBLIGATORIA:	Manual de Diagnóstico Etiológico	Marañón, G.	1956		0	0	
OFTALMOLOGIA	9	OBLIGATORIA:	Manual de Oftalmología	García-Feijoo, Julián y Pablo-Júlvez, Luis E.	2012	1a.	0	0	
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Actualizaciones en Cirugía Ortopédica y Traumatología 1, 2, 3 y 4	American Academy of Orthopedic Surgeons (AAOS)	1994		0		
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Manual de Ortopedia y Traumatología	Gasic Brzovic, Miguel	1998	2a.	0		
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Netter Ortopedia	Greene, WB	2007		0		
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Traumatología y Ortopedia para el Grado en Medicina	Marco Martínez y Urda Martínez-Aedo	2005	1a.	0		
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Introducción a la Traumatología y Cirugía Ortopédica	Munuera Martínes, L.	2005		0		
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Radiographic Evaluation of Common Pediatric Elbow Injuries. Orthopedic Review (Pavia) 2017 Feb 20; 9(1): 7030. Published online 2017 Feb 20 doi: 10.4081/or2017.7030	DeFroda. Steven F, Hansen. Heather, Gil. Joseph A, Hawari. Ashraf H, Cruz. Aristides I. Jr.	2017		0		
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Osteoarthritis: toward a comprehensive understanding of pathological mechanism Bone Researc 5, Article number 16044	Di Chen, Jie Shen, Weiwei Zhao, Tingyu Wang, Lin Han, John L Hamilton & Hee-Jeong Im	2017		0		
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Classification of long bone fractures in children acta orthopedic. Apr 88(2): 121-122. Published online feb 8 2017 doi: 10.1080/17453674.2017.128932	Hvid Ivan, Parsch Klaus	2017		0		
OTORRINOLARINGOLOGIA	10	OBLIGATORIA:	Manual de Otorrinolaringología, Cabeza y Cuello	Peñaranda, A.	2007	1a.	0	0	
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Manual de Pediatría	Cruz, M.	2008	2a.	0	0	
INTERNADO DE PEDIATRIA	14	OBLIGATORIA:	Manual de Pediatría Ambulatoria	Saieh, C.	2013		0	0	
INTERNADO DE MEDICINA INTERNA	11	OBLIGATORIA:	Manual Oxford de Medicina Interna	Longmore et al	2012		0	0	
MEDICINA FISICA Y REHABILITACION	8	OBLIGATORIA:	Manual SERMEF de Rehabilitación y Medicina Física	Sánchez et al	2006	1a.	0	0	
ENFERMEDADES INFECCIOSAS	5	OBLIGATORIA:	Medical Microbiology	Murray, e.a.	2015		0	0	
ENFERMEDADES INFECCIOSAS	5	OBLIGATORIA:	Medical Microbiology for the new Curriculum. A case-base approach	Carey, e.a.	2008		0	0	
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Enfermedades Periódicas que Detienen el Crecimiento de la Población y la Base del Alimento del Pueblo Mexicano. En ensayo político sobre el Reino de la Nueva España	Alejandro, H.	1992		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Alimentación y Dietoterapia	Cervera, P.e.	2004	4a.	0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Estrategia Global contra la Obesidad	EGO-Chile, M.d.	2006		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Incorporating Nutrition Considerations into Development Policies and Programmes	FAO	2004		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Alternativas Tecnológicas no Transgénicas para el Mejoramiento y la Producción Sustentable del Maíz en México	Marielle, C.e.	2013		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	División de Salud de las Personas. Atención Primaria	Ministerio de Salud	1997		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Orientaciones y Lineamientos Programa Vida Sana	Ministerio de Salud	2015		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Programa Norma Técnica de los Programas Alimentarios	Ministerio de Salud	2016		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Norma para la Evaluación Nutricional de Niños, Niñas y adolescentes de 5 añoa a 19 años	Ministerio de Salud	2016		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	División de Salud de las Personas. El Modelo de Atención	Ministerio de Salud	1998		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Guía para una Vida Saludable	Ministerio de Salud	2003		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Guía para una Vida Saludable	Minsal, Mineduc, Vida Chile, Chile Deportes, Inta, Universidad de Chile	2003		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Tablas de Composición de Alimentos	Moreiras, O. (s.f.)		12a.	0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Intervención Nutricional a través del ciclo Vital para la Prevención de la Obesidad u otras Enfermedades Crónicas no Transmisibles	OPS/OMS, M.	2005		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Uso del Etiquetado Nutricional para una Alimentación Saludable. Manual de Consulta para profesionales de la Salud	Pizarro, F. et al	2006		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Fisiopatología Aplicada a la Nutrición	Planas, M. y P.	2002		0		
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Alimentación y Nutrición	Vazquez, C.	2005	2a.	0		
SOCIOLOGIA MEDICA	6	OBLIGATORIA:	Medical Sociology: An Introduction	Brady, H.	2009		0	0	
MEDICINA LEGAL Y FORENSE	10	OBLIGATORIA:	Medicina Legal y Criminalística	Teke Schlicht, A.	2010	2a.	0	0	
MEDICINA LEGAL Y FORENSE	10	OBLIGATORIA:	Medicina Legal y Toxicológica	Gisbert Clabuig, J.A.	2004	6a.	0	0	
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	COMPLEMENTARIA:	Estadística para Biología y Ciencias de la Salud	Milton, S.	2007		0		
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	COMPLEMENTARIA:	Investigación y Etica en la Formación de Especialistas Médicos en Chile: un debate pendiente. Calidad en la Educación	Miranda, C. et al	2008		0		
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	COMPLEMENTARIA:	Pruebas Diagnósticas. Cad Aten Primaria.	Pita-Fernández, S. & Pértegas-Díaz, S.	2003		0		
INGLES PARA MEDICINA I	6	OBLIGATORIA:	Medicine I. New York	McCarter	2009		0	0	
INGLES PARA MEDICINA II	7	OBLIGATORIA:	Medicine I. New York	McCarter	2009		0	0	Mismo titulo
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	OBLIGATORIA:	Métodos de Análisis Multivariante	Cuadras, C.	1991	2a.	0	0	
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	OBLIGATORIA:	Métodos de Investigación Aplicados a la Atención Primaria de Salud	Argimón Pallás, J. & Jiménez Villa, J.	1994	2a.	0	0	
INGLES PARA MEDICINA II	7	COMPLEMENTARIA:	Longman English Grammar Practice	Alexander, L.G.	1990	11a.	0		
INGLES PARA MEDICINA II	7	COMPLEMENTARIA:	New Headway Video. Beginner	Murphy J.	2003		0		
MICROBIOLOGIA GENERAL E INMUNOLOGIA	4	OBLIGATORIA:	Microbiología Médica de Sherrys	Kenneth J. Ryan	2011	6a.	0	0	
INFORMATICA MEDICA	8	OBLIGATORIA:	Microsoft Access 2016 Step by Step	Lambert, J. Lambert, S.	2016		0	0	
INFORMATICA MEDICA	8	OBLIGATORIA:	Microsoft Office 2016: Word, Excel, Power Point, Outlook y OneNote 2016: Domine las funciones avanzadas de la suite Microsoft 	VV.AA.	20016		0	0	
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	OBLIGATORIA:	Multivariate Analysis	Dillon, W. & Goldstein, M.	1984		0	0	
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Nelson Compendio de Pediatría	Behrman R. y kliegman R.	2004	4a.	0	0	
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Emergencias y Paciente Crítico	Arancibia y Ugarte	2011	1a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Anestesiología Clínica	Herrera et al	2008	3a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Current Surgical Diagnosis and Treatment	Doherty, G.M.	2015	14a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Cirugía AEC	Parrilla Paricio y Landa García	2010	2a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Andreoli's and Carpenter's Cecil Essentials of Medicine	Benjamín, I.	2015	9a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Differential Diagnosis	Raftery et al	2014	4a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Radiology 101: The Basics & Fundamentals of Imaging	Smith & Farrell	2014	4a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	The Canadian's Clinical Handbook of Rheumatolgy	Albert, Lori	2015	2a.	0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Manual Ser de Enfermedades Reumáticas	Rúa-Figueroa Fernández de Larrinoa, I	2014	1a.	0		
INTERNADO DE PEDIATRIA	14	OBLIGATORIA:	Nelson Essential of Pediatrics	Marcdante, KJ, et al	2015		0	0	
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Nelson Pediatría Esencial	Marcdante, KJ, et al	2015	7a.	0	0	
MEDICINA FISICA Y REHABILITACION	8	COMPLEMENTARIA:	Essentials of Physical Medicine and Rehabilitation: Musculoskeletal Disorders, Pain, and Rehabilitation	Frontera et al	2014	3a.	0		
MEDICINA FISICA Y REHABILITACION	8	COMPLEMENTARIA:	Rehabilitación Médica de Ancianos	González-Mas, R.	1995	1a.	0		
MEDICINA FISICA Y REHABILITACION	8	COMPLEMENTARIA:	Current Diagnosis & Treatment Physical Medicine & Rehabiltation	Maitin I.	2015	1a.	0		
MEDICINA FISICA Y REHABILITACION	8	COMPLEMENTARIA:	Dolor Lumbar: Clínica y Rehabilitacción	Miranda Mayordomo y Flores García	1996	1a.	0		
MEDICINA FISICA Y REHABILITACION	8	COMPLEMENTARIA:	Daniels Worthingham's Pruebas Funcionales Musculares: Técnicas de Exploración Manual	Montgomery, H. &.	1996	6a.	0		
MEDICINA FISICA Y REHABILITACION	8	COMPLEMENTARIA:	Rehabilitación Integral en el Paciente con Enfermedad Pulmonar Obstructiva Crónica	Pleguezuelos Cobo et al	2007	1a.	0		
MEDICINA FISICA Y REHABILITACION	8	COMPLEMENTARIA:	Ortesis y Prótesis del Aparato Locomotor	Viladot Pericé et al	1985	1a.	0		
MEDICINA FISICA Y REHABILITACION	8	COMPLEMENTARIA:	Manual of Traumatic Brain Injury: Assessment and Management	Zollman F.	2016	2a.	0		
INTERNADO DE PEDIATRIA	14	OBLIGATORIA:	Nelson Pediatría Esencial	Marcdante, KJ, et al	2015		0	0	Mismo titulo
FISIOPATOLOGIA I	4	OBLIGATORIA:	Netter Anatomía Patológica	Buja, M.	2006		0	0	
HISTOLOGIA	3	OBLIGATORIA:	Nuevo Atlas de Histología Normal de di Fiore	Piezzine, R. & Fornes, M.	2015	8a.	0	0	
DERMATOLOGIA	8	COMPLEMENTARIA:	Dermatology Essentials	Bolognia et al	2014	1a.	0		
DERMATOLOGIA	8	COMPLEMENTARIA:	Dermatología Clínica	Ferrándiz, C.	2014	4a.	0		
DERMATOLOGIA	8	COMPLEMENTARIA:	Clinical Dermatology: A Color Guide to Diagnosis and Therapy	Habif, T.	2016	6a.	0		
DERMATOLOGIA	8	COMPLEMENTARIA:	Differential Diagnosis	Raftery et al	2014	4a.	0		
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Nutrición y Dietética Clínica	Salas-Salvado J. et al	2008	2a.	0	0	
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Nutrición y Dietoterapia de Krause	Mahan, L.K.& Escott-Stump, S	2004	11a.	0	0	
OFTALMOLOGIA	9	OBLIGATORIA:	Oftalmología en la Práctica de la Medicina General	Graue E.	2014	4a.	0	0	
INFORMATICA MEDICA	8	COMPLEMENTARIA:	Telemedicine Technologies: Information Technologies in Medicine and Telehealth	Fong, e.a.	2011		0		
INFORMATICA MEDICA	8	COMPLEMENTARIA:	Biomedical Informatics: Discovering Kowledge in Big Data	Holzinger, A.	2014		0		
INFORMATICA MEDICA	8	COMPLEMENTARIA:	Health Informatics: Practical Guide for Healthcare and Information Technology Professionals	Hoyt, R.	2014		0		
INFORMATICA MEDICA	8	COMPLEMENTARIA:	Bioinformática: Simulación, Vida Artificial e Inteligencia Artificial	Lahoz-Beltrá, R.	2014		0		
INFORMATICA MEDICA	8	COMPLEMENTARIA:	Biomedical Informatics: An Introduction Information Systems and Software in Medicine and Health. Boca Ratón:CPR Press	Lubliner, D.	2016		0		
INFORMATICA MEDICA	8	COMPLEMENTARIA:	Telemedicine and Telehealth 2.0: A Practical Guide Providers and Patients	Lyuboslavsky, V.	2015		0		
