PLANILLA DE BIBLIOGRAFÍA OBLIGATORIA Y COMPLEMENTARIA DE LOS PROGRAMAS DE ASIGNATURA 2022						
						
CARRERA:  de Licenciatura en Educación y Pedagogía en Inglés						
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD EN BIBLIOTECA  	BIB BIBLIOTECA
Electivo III	SEMESTRE 3	Steiner, C. (1998). La educación emocional. Buenos Aires: Javier Vergara	COMPLEMENTARIA		1	11153
Ética Profesional	SEMESTRE 4	Reale, G. y Antiseri, D. (1995). Historia del pensamiento filosófico y científico. Barcelona: Herder	OBLIGATORIA		6	21336-13276
Ética Profesional	SEMESTRE 4	Aranguren, J.L. (2004). Ética. Alianza Universitaria textos. Madrid.	OBLIGATORIA		1	20912
Ética Profesional	SEMESTRE 4	Cazares, G., Morales, F., Lozano V., y Camacho, L. (2006). Ética y Valores 2: Un acercamiento	OBLIGATORIA		1	21406
Ética Profesional	SEMESTRE 4	Hernández, A. (2008). Ética actual y profesional: lecturas para la convivencia global en el siglo	OBLIGATORIA		2	22779
Ética Profesional	SEMESTRE 4	García, A. (2006). Ética o Filosofía Moral. México: Diana	OBLIGATORIA		2	20979-11241
Ética Profesional	SEMESTRE 4	Form, E. (1970). La revolución de la esperanza, Fondo de Cultura Económica, México.	COMPLEMENTARIA		1	25583
Ética Profesional	SEMESTRE 4	Maritain, J. (1966). Las nociones preliminares de una filosofía moral. Buenos aires: Club de lectores	COMPLEMENTARIA		1	9046
Ética Profesional	SEMESTRE 4	Cobo, J. (1993). Educación Ética: para un mundo en cambio y una sociedad plural. Madrid:	COMPLEMENTARIA		1	2044
Diseño Curricular	SEMESTRE 4	Román, M. (2001). Diseños curriculares de aula: un modelo de planificación como aprendizaje-enseñanza. Buenos Aires: Novedades Educativas.	OBLIGATORIA		2	16653
Diseño Curricular	SEMESTRE 4	Tobón, S. (2006). Formación basada en competencias. Bogotá: Ecoe Ediciones.	OBLIGATORIA		4	21413
Diseño Curricular	SEMESTRE 4	Bloom, B. (1974). Taxonomía de los objetivos de la educación. Buenos Aires: El Ateneo.	OBLIGATORIA		5	1288
Evaluación Educacional	SEMESTRE 4	Castillo, S., Cabrerizo, J. (2009). Evaluación educativa de aprendizajes y competencias. Madrid, España: Pearson Prentice Hall	OBLIGATORIA		4	24862
Evaluación Educacional	SEMESTRE 4	Medina, A., Condermarin, M. (2009). La evaluación auténtica de los aprendizajes: Un medio para mejorar las competencias en lenguaje y comunicación. Chile. División de Educación General	OBLIGATORIA		1	24850
Evaluación Educacional	SEMESTRE 4	Lafourcade, P. (1973). Evaluación de los aprendizajes. Buenos Aires: Capelusz.	OBLIGATORIA		1	1852
Evaluación Educacional	SEMESTRE 4	Stobart G. (2010). Tiempos de pruebas: los usos y abusos de la evaluación. Madrid: Morata.	OBLIGATORIA		4	24516
Evaluación Educacional	SEMESTRE 4	Castilla S. (Coord.) (2008) Compromisos de la evaluación educativa. Madrid: Pearson	COMPLEMENTARIA		1	21641
Evaluación Educacional	SEMESTRE 4	Hein A., y Taut, S. (2010). El uso de información evaluativa externa con fines formativos en	COMPLEMENTARIA		0	
Evaluación Educacional	SEMESTRE 4	Monereo, C. (Coord.) (2009). Pisa como excusa. Repensar la evaluación para cambiar la	COMPLEMENTARIA		4	24626-24602
Evaluación Educacional	SEMESTRE 4	Guerra, S., Ángel, M. (1995).  La evaluación: un proceso de diálogo, comprensión y mejora (2a ed.). Málaga: Aljibe	COMPLEMENTARIA		2	14363
Cultura y Civilización de Estados Unidos	SEMESTRE 4	Keesing, R. (1976). Cultural Anthropology: A Contemporary Perspective. New York: Holt, Rinehart and Winston.	OBLIGATORIA		3	1607
Cultura y Civilización de Estados Unidos	SEMESTRE 4	. Burke, M. (1979). United States History: The Growth of Our Land. Chicago: American	COMPLEMENTARIA		0	
Cultura y Civilización de Estados Unidos	SEMESTRE 4	Crapo, R. H. (1993). Cultural Anthropology. Understanding Ourselves and Others.	COMPLEMENTARIA		0	
Cultura y Civilización de Estados Unidos	SEMESTRE 4	Garraty, J. A., Carnes, M. C. (2001). The American Nation. A History of the United States to 1887. New York: Harper and Row.	COMPLEMENTARIA		0	
Cultura y Civilización de Estados Unidos	SEMESTRE 4	Holden, R. H., Zolov, E. (2000). Latin America and the United States. A Documentary	COMPLEMENTARIA		0	
Cultura y Civilización de Estados Unidos	SEMESTRE 4	Kirk, G., Okazawa-Rey, M. (2001). Women´s Lives. Multicultural Perspectives. Mountain	COMPLEMENTARIA		0	
Cultura y Civilización de Estados Unidos	SEMESTRE 4	Tindall, Gerge; Shi, David E. (1989). América. A Narrative History. New York: W. W. Norton &amp;	COMPLEMENTARIA		0	
Competencia Comunicativa IV	SEMESTRE 4	Jones, D. (1997). English Pronouncing Dictionary. Cambridge: Cambridge University Press.	OBLIGATORIA	15	5	4268
Competencia Comunicativa IV	SEMESTRE 4	Murphy, R. (2004). English Grammar in Use. Cambridge: Cambridge University Press.	OBLIGATORIA		22	26240-10050-18172
Competencia Comunicativa IV	SEMESTRE 4	Savage, A., Shafiei, M. (2006). Effective Academic Writing 3. Oxford: Oxford University Press	OBLIGATORIA		1	24000
Competencia Comunicativa IV	SEMESTRE 4	Tilbury, A., Clementson, T., Hendra, L., y Rea, D. (2015). English Unlimited : B1 Pre-intermediate Coursebook. Cambridge : Cambridge University Press, 2015	OBLIGATORIA		8	26156
Competencia Comunicativa IV	SEMESTRE 4	Alexander, L. (1990). Longman English Grammar Practice. Londres: Longman.	COMPLEMENTARIA		0	
Competencia Comunicativa IV	SEMESTRE 4	Hashemi, L., Thomas, B. (2014). Objective FCE Cambridge. Cambridge: Cambridge University Press.	COMPLEMENTARIA		0	
Fonología Suprasegmental	SEMESTRE 4	Marks, J. (2007). English Pronunciation in Use Elementary: Self-Study and Classroom Use. Cambridge: Cambridge University Press.	OBLIGATORIA	15	12	27074
Fonología Suprasegmental	SEMESTRE 4	Baker, A. (1991). Ship or Sheep?: An intermediate pronunciation course. Cambridge: Cambridge University Press.	OBLIGATORIA		5	4194
Fonología Suprasegmental	SEMESTRE 4	Finch, D., Ortiz, H. (1982). A Course in English Phonetics for Spanish Speakers. Heinemann Educational Books, Ltd.	COMPLEMENTARIA	15	0	
Fonología Suprasegmental	SEMESTRE 4	Jones, D. (1995). An English Pronouncing Dictionary. Cambridge: Cambridge University Press.	COMPLEMENTARIA	15	5	4268
Fonología Suprasegmental	SEMESTRE 4	Hooke, R., Rowell, J. (1982). A handbook of English Pronunciation. Edward Arnold Publisher Ltd.	COMPLEMENTARIA	15	0	
Fonología Suprasegmental	SEMESTRE 4	Hancock, M. (2007). English Pronunciation in Use Intermediate. Cambridge: Cambridge University Press.	COMPLEMENTARIA	15	0	
Fonología Suprasegmental	SEMESTRE 4	Baker, A., Goldstein, S. (2009). Pronunciation Pair, an Introduction to the Sounds of English. Cambridge University Press.	OBLIGATORIA	15	0	
Didática para Educación Básica I	SEMESTRE 4	Brown, H. (2007) Teaching by Principles: An Interactive Approach to Language Pedagogy. Pearson Education Limited.	OBLIGATORIA		3	28426-23996
Didática para Educación Básica I	SEMESTRE 4	Harmer, J. (2007). How to Teach English. Pearson Education Limited	OBLIGATORIA		7	27214
Didática para Educación Básica I	SEMESTRE 4	Ur, P. (1996) A Course in Language Teaching. Cambridge: Cambridge University Press.	OBLIGATORIA		7	22345-18216
Didática para Educación Básica I	SEMESTRE 4	Vale, D., Feunteun, A. (1995). Teaching Children English: A training course for teachers of English	COMPLEMENTARIA		3	23997
Didática para Educación Básica I	SEMESTRE 4	to Children. Cambridge: Cambridge University Press.	OBLIGATORIA		0	
Trabajo de Campo II + ABP	SEMESTRE 4	"Vale, David Feunteun, Anne. (1995). Teaching Children English: A training course for teachers of English to Children. Cambridge University Press"	OBLIGATORIA		3	23997
Trabajo de Campo II + ABP	SEMESTRE 4	Puchta, H., Williams, M. (2011).  Teaching Young Learners to Think; ELT activities for Young Learners aged 6-12. Helbling Languages.	COMPLEMENTARIA		8	27222
Trabajo de Campo II + ABP	SEMESTRE 4	Scrivener, J. (1994). Learning Teaching: A guidebook for English language teachers. Oxford: Macmillan Heinemann English Language Teaching.	COMPLEMENTARIA		1	18247
Trabajo de Campo II + ABP	SEMESTRE 4	Hearn, I., Garcés, A. (2003). Didáctica del Inglés para Primaria. Madrid, España: Pearson Educación	COMPLEMENTARIA		1	21609
Orientación Educacional y Convivencia Escolar	SEMESTRE 5	"Scrivener, J. (1994). Learning Teaching: A guidebook for English language teachers. Oxford: Macmillan Heinemann English Language Teaching. Hearn, I., Garcés, A. (2003). Didáctica del Inglés para Primaria. Madrid, España: Pearson Educación"	OBLIGATORIA		1	18247
Orientación Educacional y Convivencia Escolar	SEMESTRE 5	Ruz, J. (2003). Convivencia Escolar y calidad de educación. Chile. Ministerio de Educación.	OBLIGATORIA	15	4	18517
Orientación Educacional y Convivencia Escolar	SEMESTRE 5	Gutiérrez, F. (1993). Orientación y Desarrollo Afectivo. Chile. Coprim.	OBLIGATORIA		2	2135
Orientación Educacional y Convivencia Escolar	SEMESTRE 5	Suárez, M. (1998). Familia y Valores: Escuela para padres, la hora del encuentro. Bogotá. Editorial magisterio.	OBLIGATORIA		4	22613
Orientación Educacional y Convivencia Escolar	SEMESTRE 5	Vega-Hazas, J (2009). Comunicación entre el Colegio y la familia, Madrid, Ediciones internacionales universitarias	OBLIGATORIA	15	1	22739
Orientación Educacional y Convivencia Escolar	SEMESTRE 5	Saracostti, M. (2013).Herramientas para un trabajo colaborativo, Santiago, Chile. Editorial Universitaria.	OBLIGATORIA	15	0	
Políticas Educacionales	SEMESTRE 5	Pontificia Universidad Católica de Chile, Teleduc. (1997). Familia y centros educativos, Santiago, Chile.	NO INDICA	15	0	
Políticas Educacionales	SEMESTRE 5	Contreras, J. (2001). La autonomía del profesorado. Madrid: Moratas.	OBLIGATORIA		2	11653
Políticas Educacionales	SEMESTRE 5	Bohm, W., & Schiefelbein, E. (2008). Repensar la educación. Diez preguntas para mejorar la docencia. Santiago de Chile: Andrés Bello. N° de pedido 370.1 B676	OBLIGATORIA		1	24849
Políticas Educacionales	SEMESTRE 5	Echeita, G. (2006). Educación para la inclusión o educación sin exclusiones. Madrid: Narcea.	COMPLEMENTARIA		0	
Políticas Educacionales	SEMESTRE 5	Hargreaves, A. (2005). Profesorado, cultura y postmodernidad. Cambian los tiempos, cambia el profesorado. Madrid: Morata.	COMPLEMENTARIA		0	
Políticas Educacionales	SEMESTRE 5	Oliva, M. (2008). Políticas educativas y profundización de la desigualdad en Chile. Estudios Pedagógicos, 207-226.	COMPLEMENTARIA		0	
Políticas Educacionales	SEMESTRE 5	Peralta Espinosa, M. (2006). Currículos educacionales en América Latina. Santiago de Chile: Andrés Bello. N° de pedido 375.0098 P426	COMPLEMENTARIA		1	8888
Políticas Educacionales	SEMESTRE 5	Sacristán, J. (2005). La educación que aún es posible. Madrid: Morata.	COMPLEMENTARIA		0	
Políticas Educacionales	SEMESTRE 5	Sacristan, J. (2006). La reforma necesaria: Entre la política educativa y la práctica escolar. Madrid: Morata S. L.	COMPLEMENTARIA		0	
Políticas Educacionales	SEMESTRE 5	Stainback, S., & Stainback, W. (2007). Aulas Inclusivas. Un nuevo modo de enfocar y vivir el currículo. Madrid: Narcea.	COMPLEMENTARIA		0	
Políticas Educacionales	SEMESTRE 5	Torres, J. (2001). Educación en tiempos de neoliberalismo. Madrid: Moratas S. L	COMPLEMENTARIA		0	
Evaluación	SEMESTRE 5	4. Casanova, M. (1995). Manual de Evaluación Educativa. Madrid: La Muralla.	COMPLEMENTARIA		5	1193
Evaluación	SEMESTRE 5	Harmer, J. (2007). How to Teach English. Harlow: Pearson Longman.	OBLIGATORIA	20	1	19855
Evaluación	SEMESTRE 5	Brown, D. (2007). Teaching by Principles. An Interactive Approach to Language Pedagogy. Harlow: Pearson Longman.	OBLIGATORIA		3	28426-23996
Evaluación	SEMESTRE 5	Santos, M. (1995). La Evaluación: Un Proceso de Diálogo, Comprensión y Mejora. Málaga: Ediciones Aljibe	OBLIGATORIA		2	14363
Evaluación	SEMESTRE 5	Ur, P. (1996) A course in Language Teaching. Cambridge University Press	COMPLEMENTARIA		7	22345-18216
Cultura y Civilización del Reino Unido	SEMESTRE 5	Casanova, M. (1995). Manual de Evaluación Educativa. Madrid: La Muralla	OBLIGATORIA		5	1193
Cultura y Civilización del Reino Unido	SEMESTRE 5	Rabley, S. (1990). The British Royal Family. Oxford, Macmillan.	OBLIGATORIA		2	18242
Cultura y Civilización del Reino Unido	SEMESTRE 5	Christopher, D. (2015). British Culture And Introduction. Routledge.	OBLIGATORIA		2	28411
Cultura y Civilización del Reino Unido	SEMESTRE 5	McDowall, D. (2006). An Illustrated History of Britain, Longman. Pearson Education Limited.	COMPLEMENTARIA		0	
Cultura y Civilización del Reino Unido	SEMESTRE 5	Crapo, Richley H. (1993). Cultural Anthropology. Understanding Ourselves and Others. Connecticut: The Duskin Publishing Group.	COMPLEMENTARIA			0
Cultura y Civilización del Reino Unido	SEMESTRE 5	Storry, M. (2013). Contemporary British (4th Ed). Routledge.	COMPLEMENTARIA			0
Cultura y Civilización del Reino Unido	SEMESTRE 5	Storry, M., Childs, P. (2017). British Cultural Identities (5th Ed). Routledge.	COMPLEMENTARIA		2	28397
Competencia Comunicativa V	SEMESTRE 5	Stephenson, H. (2013). Life. Upper Intermediate. Hampshire: Cengage Learning - National Geographic Learning.	OBLIGATORIA	20	3	27212
Competencia Comunicativa V	SEMESTRE 5	Davis, J., & Rhonda, L. (2006). Effective Academic Writing 3: The Essay. New York: Oxford University Press.	OBLIGATORIA	20	1	24000
Competencia Comunicativa V	SEMESTRE 5	Jones, D. (1997). English Pronouncing Dictionary. Cambridge: Cambridge University Press.	COMPLEMENTARIA	20	5	4268
Competencia Comunicativa V	SEMESTRE 5	Murphy, R. (2004) English Grammar in Use. Cambridge: Cambridge University Press.	COMPLEMENTARIA	20	22	26240-10050-18172
Competencia Comunicativa V	SEMESTRE 5	Alexander, L.G. (1990). Longman English Grammar Practice. Londres: Longman.	COMPLEMENTARIA	20	0	
Competencia Comunicativa V	SEMESTRE 5	Vince, M. (2008) Macmillan Grammar in Context. Advanced. Macmillan Education.	NO INDICA	20	5	28405
Competencia Comunicativa V	SEMESTRE 5	Savage, A., & Mayer, P. (2006) Effective Academic Writing 2: The Short Essay. Oxford: Oxford University Press.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Savage, A., & Mayer, P. (2006) Effective Academic Writing 2: The Short Essay. Oxford: Oxford University Press.	OBLIGATORIA		0	
Lingüística Aplicada I	SEMESTRE 5	Brown, D. (2007). Principles of Language Learning and Teaching (5th edition). Harlow: Pearson. Longman	OBLIGATORIA		3	28426-23996
Lingüística Aplicada I	SEMESTRE 5	Harmer, J. (1998). How to Teach English. Harlow: Pearson. Longman.	OBLIGATORIA		1	19855
Lingüística Aplicada I	SEMESTRE 5	Akmajian Adrian, et al. (2001). Linguistics. An Introduction to Language and Communication. The MIT Press. Fifth Edition.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Bailey, Kathleen M. and Nunan, David. (1996). Voices from the Language Classroom. Cambridge University Press.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Blake, N. and Jean Moorhead. (1993). Introduction to English Language. MacMillan Press Ltd.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Celce-Murcia, Marianne and Diane Larsen-Freeman.(1999).  The Grammar Book, An ESL/EFL	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Crane, Ben L., Yeager, Edward and Whitman, Randal L. (1981). An Introduction to Linguistics. Little, Brown and Company.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Dulay, Heidi, Burt, Marina., and Krashen, Stephen.(1982). Language Two. OUP.	COMPLEMENTARIA		2	9996
Lingüística Aplicada I	SEMESTRE 5	Ellis, Rod. (1998). Second Language Acquisition. O.U.P.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Finch, Geoffrey. (2003). How to Study Linguistics. Palgrave MacMillan, Second Edition.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Lewis, Michael. (1993). The Lexical Approach. Commercial Colour Press.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Lightbown, Patsy and Nina Spada. (1995). How Languages are Learned. OUP.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Littlewood, William. (1989). Foreign and Second Language Learning. Cambridge University Press.	COMPLEMENTARIA		2	11462
Lingüística Aplicada I	SEMESTRE 5	Nunan, David. (1992). Collaborative Language Learning and Teaching. Cambridge University Press	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	O’Grady, William, et al. (2001). Contemporary Linguistics. An Introduction. Bedford. St. Martin’s.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Richard-Amato, Patricia. (1988). Making It Happen. Interaction in the Second Language Classroom. Longman.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Richards, Jack and Lockhart, Charles. (1994). Reflective Teaching in Second Language Classrooms. Cambridge University Press.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Richards, Jack, Platt, John and Weber, Heidi. Longman Dictionary of Applied Linguistics. Essex: Longman Group Limited.	COMPLEMENTARIA		5	12034-27282
Lingüística Aplicada I	SEMESTRE 5	Richards, Jack C. and Renandya, Willy A. (2002). Methodology in Language Teaching. An Anthology of Current Practice. Cambridge University Press.	COMPLEMENTARIA		0	
Lingüística Aplicada I	SEMESTRE 5	Spolsky, Bernard. (1992). Conditions for Second Language Learning. OUP.	COMPLEMENTARIA		6	9997
Lingüística Aplicada I	SEMESTRE 5	Wright, Tony. (1987). Roles of Teachers and Learners. OUP.	COMPLEMENTARIA		2	13263
Didáctica para Educación Básica II	SEMESTRE 5	Brown, H. (2007) Teaching by Principles: An Interactive Approach to Language Pedagogy. Pearson Education Limited.	OBLIGATORIA		3	28426-23996
Didáctica para Educación Básica II	SEMESTRE 5	Harmer, J. (2007). How to Teach English. Pearson Education Limited	OBLIGATORIA		1	19855
Didáctica para Educación Básica II	SEMESTRE 5	Ur, P. (1996) A Course in Language Teaching. Cambridge: Cambridge University Press.	OBLIGATORIA		4	18216
Didáctica para Educación Básica II	SEMESTRE 5	"Puchta, H. and Williams, M. (2011). Teaching Young Learners to Think; ELT activities for Young Learners aged 6-12.Helbling Languages."	COMPLEMENTARIA		8	27222
Didáctica para Educación Básica II	SEMESTRE 5	Vale, David Feunteun, Anne. (1995). Teaching Children English: A training course for teachers of English to	COMPLEMENTARIA		3	23997
Trabajo de Campo III + ABP	SEMESTRE 5	1.        Vale, D. (1995). Teaching Children English: A training course for teachers of English to Children. Cambridge: Cambridge University Press.	COMPLEMENTARIA		3	23997
Electivo IV	SEMESTRE 6	Gilliland, B., Pavez, K., & Muñoz, A. (2017). E-Portfolio Project: Assessing Language Teacher Learning in the Chilean Desert. Libro The Politics of English Second Language Writing Assessment in Global Contexts. Routledge Publishers	OBLIGATORIA		0	
Electivo IV	SEMESTRE 6	Cpeip. Manual de Portafolio Educación Media 2021. Ministerio de Educación. p. 6-8	OBLIGATORIA		0	
Electivo IV	SEMESTRE 6	Cpeip. (2020). Resultados Nacionales Evaluación Docente 2019. Ministerio de Educación. Chile	OBLIGATORIA		0	
Electivo IV	SEMESTRE 6	Preiss D. et al. (2014). Buenas Prácticas Pedagógicas Observadas en el Aula de Segundo Ciclo Básico en Chile. Psykhe. Santiago. P. 4-6.	OBLIGATORIA		0	
Fundamento de la Investigación Científica	SEMESTRE 6	Schmelkes, C. (1988). Manual para la presentación de anteproyectos e informes de investigación. México: Harla.	OBLIGATORIA		1	8910
Fundamento de la Investigación Científica	SEMESTRE 6	Samaya, J. (1999). Epistemología y metodología: elementos para una teoría de la investigación científica. Buenos Aires: Eudeba.	OBLIGATORIA		0	
Fundamento de la Investigación Científica	SEMESTRE 6	Flick, U. (2007). Introducción a la investigación cualitativa. Madrid: Morata	COMPLEMENTARIA		3	28100
Fundamento de la Investigación Científica	SEMESTRE 6	American Psychological Association (2010). Manual de Publicaciones. Tercera edición traducida de la sexta en inglés. México: Manual Moderno.	COMPLEMENTARIA		0	
Fundamento de la Investigación Científica	SEMESTRE 6	Bunge, M. (1967). La investigación científica. Barcelona: Editorial Ariel.	COMPLEMENTARIA		8	24837-2921
Fundamento de la Investigación Científica	SEMESTRE 6	Sierra Bravo, R. (1993). Técnica de investigación social. Madrid: Editorial Paraninfo.	COMPLEMENTARIA		4	22489
Informática Educativa	SEMESTRE 6	Ilabaca, J. S. (2000). Informática Educativa. Santiago: Editorial Universitaria.	OBLIGATORIA	25	0	
Informática Educativa	SEMESTRE 6	"Informática Educativa y Nuevas Tecnologías: Aplicaciones en Educación Varios Autores · Universidad Publica De Navarra/Nafarroako Unibertsitate Pub."	OBLIGATORIA	25	1	15779	AUTOR SANCHEZ
Literatura Étnica	SEMESTRE 6	Gilbert, S.; Gubar, S. (1996). The Norton Anthology of Literature by Women: The Traditions in English (2nd Ed.). W. W. Norton & Company, Inc.	OBLIGATORIA	25	2	12186
Literatura Étnica	SEMESTRE 6	Mack, M., Ed. (1997). The Norton Anthology of World Masterpieces, Vol. 1. & 2. W. W. Norton & Company, Inc.	OBLIGATORIA	25	2	12187
Literatura Étnica	SEMESTRE 6	Baym, N. et al., Ed. (1994). The Norton Anthology of American Literature (4th Ed.), Vol. 1 & 2. W. W. Norton & Company, Inc.	OBLIGATORIA	25	6	11730
Competencia Comunicativa VI	SEMESTRE 6	Ferguson, M. W.; Salter, M. & Stallworthy, J. (Ed.) (1996). The Norton Anthology of Poetry (4th Ed.). W. W. Norton & Company, Inc.	NO INDICA		1	12020
Lingüística Aplicada II	SEMESTRE 6	Brown, H. Douglas. (2007). Principles of Language Learning and Teaching. New York: Pearson.                              Longman. 	OBLIGATORIA		3	28426-23996
Lingüística Aplicada II	SEMESTRE 6	Akmajian Adrian, et al. (2001). Linguistics. An Introduction to Language and Communication. The MIT Press. Fifth Edition.	COMPLEMENTARIA		0	
Lingüística Aplicada II	SEMESTRE 6	Bailey, Kathleen M. and Nunan, David. (1996). Voices From the Language Classroom. Cambridge University Press.	COMPLEMENTARIA		0	
Lingüística Aplicada II	SEMESTRE 6	Blake, N. and Jean Moorhead. (1993). Introduction to English Language.  MacMillan Press Ltd.	COMPLEMENTARIA		0	
Lingüística Aplicada II	SEMESTRE 6	Celce-Murcia, Marianne and Diane Larsen-Freeman.(1999).  The Grammar Book, An ESL/EFL  Teacher’s Course. Heinle & Heinle Publishers. Second Edition.	COMPLEMENTARIA		0	
Lingüística Aplicada II	SEMESTRE 6	Crane, Ben L., Yeager, Edward and Whitman, Randal L. (1981). An Introduction to Linguistics.Little, Brown and Company.	COMPLEMENTARIA		0	
	SEMESTRE 6	Dulay, Heidi, Burt, Marina., and Krashen, Stephen.(1982). Language Two. OUP.	COMPLEMENTARIA		2	9996
Lingüística Aplicada II	SEMESTRE 6	Ellis, Rod. (1998).  Second Language Acquisition. O.U.P.	COMPLEMENTARIA		0	
Lingüística Aplicada II	SEMESTRE 6	Finch, Geoffrey. (2003). How to Study Linguistics.  Palgrave MacMillan, Second Edition.	COMPLEMENTARIA		0	
	SEMESTRE 6	Harmer, Jeremy. (1998). How to Teach English. Longman.	COMPLEMENTARIA		1	19855
Lingüística Aplicada II	SEMESTRE 6	Lewis, Michael. (1993). The Lexical Approach. Commercial Colour Press.	COMPLEMENTARIA		0	
	SEMESTRE 6	Lightbown, Patsy and Nina Spada.  (1995). How Languages are Learned. OUP.	COMPLEMENTARIA		3	9998
	SEMESTRE 6	Littlewood, William.  (1989). Foreign and Second Language Learning. Cambridge University Press. 	COMPLEMENTARIA		2	11462
Lingüística Aplicada II	SEMESTRE 6	Nunan, David. (1992). Collaborative Language Learning and Teaching. Cambridge University Press.	COMPLEMENTARIA		0	
Lingüística Aplicada II	SEMESTRE 6	O’Grady, William, et al. (2001). Contemporary Linguistics. An Introduction. Bedford. St. Martin’s.	COMPLEMENTARIA		0	
Lingüística Aplicada II	SEMESTRE 6	Richard-Amato, Patricia. (1988). Making It Happen. Interaction in the Second Language Classroom. Longman.	COMPLEMENTARIA		0	
Lingüística Aplicada II	SEMESTRE 6	Richards, Jack. and Lockhart, Charles. (1994). Reflective Teaching in Second Language Classrooms. Cambridge University Press.	COMPLEMENTARIA		0	
	SEMESTRE 6	Richards, Jack, Platt, John and Weber, Heidi. Longman Dictionary of Applied Linguistics. Essex: Longman Group Limited.	COMPLEMENTARIA		5	12034-27282
Lingüística Aplicada II	SEMESTRE 6	Richards, Jack C. and Renandya, Willy A. (2002). Methodology in Language Teaching. An Anthology of Current Practice. Cambridge University Press.	COMPLEMENTARIA		0	
	SEMESTRE 6	Spolsky, Bernard. (1992). Conditions for Second Language Learning. OUP.	COMPLEMENTARIA		6	9997
	SEMESTRE 6	Wright, Tony. (1987). Roles of Teachers and Learners. OUP.	COMPLEMENTARIA		2	13263
Didáctica para Educación Media I	SEMESTRE 6	Harmer, J. (2007). How to Teach English. Harlow: Pearson Longman.	OBLIGATORIA	20	1	19855
Didáctica para Educación Media I	SEMESTRE 6	Brown, D. (2007). Teaching by Principles. An Interactive Approach to Language Pedagogy. Harlow: Pearson Longman.	OBLIGATORIA	20	3	28426-23996
Didáctica para Educación Media I	SEMESTRE 6	Ur, P. (1996) A course in Language Teaching. Cambridge University Press	OBLIGATORIA	20	4	18216
Didáctica para Educación Media I	SEMESTRE 6	Scrivener, J. (2012). Classroom Management Techniques. Cambridge: Cambridge University Press.	OBLIGATORIA	20	6	27190
		Wallace, M. (1998) Action Research for Language Teachers. Cambridge Teacher Training and Development	OBLIGATORIA	20	6	27223
Trabajo de Campo IV + ABP	semestre 7	Spratt M., Pulverness A. & Williams M. (2011).The TKT Course. Teaching Knowledge Test: Modules	OBLIGATORIA	20	6	27824
Trabajo de Campo IV + ABP	SEMESTRE 7	Murphy,  R. (2004). English grammar in use: A self-study reference and practice book for intermediate students: with answers. Cambridge: Cambridge University Press	COMPLEMENTARIA		22	26240-10050-18172
Metodología de la Investigación Educativa	SEMESTRE 7	Swift, Jonathan. (2008). Gulliver's Travels. New York: Oxford University Press	COMPLEMENTARIA	20	1	23695
Liderazgo y Administración Educacional	SEMESTRE 7	O'Dell F. & Broadhead, A. Objective Advanced: Teacher's Resources CD-ROM /, Cambridge University Press	NO INDICA	20	5	27207
Literatura de Países de habla Inglesa	SEMESTRE 7	Murphy, R. (2004) English Grammar in Use: A self-study reference and practice book for intermediate students of English (3rded). Cambridge University Press.	OBLIGATORIA		22	26240-10050-18172
Competencia Comunicativa VII	SEMESTRE 7	O'Dell F. & Broadhead, A. Objective Advanced: Teacher's Resources CD-ROM /, Cambridge University Press	OBLIGATORIA	18	5	27207
Competencia Comunicativa VII	SEMESTRE 7	Murphy, R. (2004) English Grammar in Use: A self-study reference and practice book for intermediate students of English (3rded). Cambridge University Press.	NO INDICA	20	22	26240-10050-18172
Lingüística Aplicada II		Savage, Alice; Shafiei, Masoud. (2007). Effective Academic Writing 3.  Hedge, Tricia Oxford (2008) Writing, Oxford University Press.	OBLIGATORIA	18	0	
Didáctica para Educación Media II	SEMESTRE 7	Brown, H. (2007) Teaching by Principles: An Interactive Approach to Language Pedagogy.	OBLIGATORIA		3	23996
	SEMESTRE 7	Ur, P. (1996) A course in Language Teaching. Cambridge University Press.	OBLIGATORIA		4	18216
