 BIBLIOGRAFICA GEOLOGIA							
							
CARRERA:	GEOLOGÍA						
							
							
ASIGNATURA	NIVEL	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	 ESTUDIANTES POR ASIGNATURA	DISPONIBLES EN BTCA	NRO DE BIB# 	Disponibilidad
Ejercicio físico y salud	301	Rueda, A., Frías, G., Quintana, R. M. & Portilla, J. L.  (2001).   La condición física en la educación secundaria. (2.ed.). Barcelona, España. INDE	COMPLEMENTARIA		0		0
Petrología Ígnea y Metamórfica II	302	Francis, J. T. & Verhoogen J. (1963). Petrología Ígnea y Metamórfica. Barcelona: Omega.	OBLIGATORIA		1	2924	1
Petrología Ígnea y Metamórfica II	302	Winkler, H. (1976). Petrogenesis of Metamorphic rocks. Berlin: Springer.	OBLIGATORIA		2	2979	1
Petrología Ígnea y Metamórfica II	302	Best, M. G. (1995). Igneous and metamorphic petrology. Massachusetts: Blackwell science	OBLIGATORIA		3	2637	1
Petrología Ígnea y Metamórfica II	302	Winter, J. (2010). An introduction to igneous and metamorphic petrology. New York: Pearson.	OBLIGATORIA		2	23914	1
Petrología Ígnea y Metamórfica II	302	Yardley, B. W. D. (1998). An introduction to metamorphic petrology. London: Longman.	OBLIGATORIA		2	11604	1
Petrología Ígnea y Metamórfica II	302	Sigurdsson, H., Houghton, B., Rymer, H., Stix, J. & McNutt, S. (2015). Encyclopedia ofVolcanoes. Cambridge, United States: Academic Press.	COMPLEMENTARIA		2	23190	1
Petrología Ígnea y Metamórfica II	302	Kornprobst, J. (2002). Metamorphic Rocks and Their Geodynamic Significance. A petrologicalHandbook. Dordrecht, Netherlands: Kluwer Academic Publishers.	COMPLEMENTARIA		0		0
Petrología Ígnea y Metamórfica II	302	Spear, F. S. (1993). Metamorphic Phase Equilibria and Pressure-Temperature-Time Paths.	COMPLEMENTARIA		0		0
Petrología Ígnea y Metamórfica II	302	Chantilly, United States: Mineralogical Society of America. Monograph.	COMPLEMENTARIA		0		0
Geología Histórica	302	Benedetto, J. L. (2010). El continente de Gondwana a través del tiempo. Una introducción a la Geología Histórica. Córdoba, Argentina: Academia Nacional de Ciencias.	OBLIGATORIA		0		0
Geología Histórica	302	Stanley, S. M. (2009). Earth System History 3ª ed. New York: W.H. Freeman and Company.	OBLIGATORIA		2	24681	1
Geología Histórica	302	Wicander, R. & Monroe, J. S. (2012). Historical geology: evolution of earth and life through time. Belmont, California : Books/Cole	OBLIGATORIA		2	24682	1
Geología Histórica	302	Anguita, F. (1988). Origen e historia de la Tierra.	COMPLEMENTARIA		1	10191	1
Geología Histórica	302	Benton, M. J. (2008). The History of Life. A very Short Introduction. Oxford University Press Inc.,New York.	COMPLEMENTARIA		0		0
Geología Histórica	302	Catuneanu, O. (2007). Principles of Sequence Stratigraphy. Elsevier.	COMPLEMENTARIA		2	25939	1
Geología Histórica	302	Davies, G. F. (2009). Dynamic Earth: Plates, Plumes and Mantle Convection.	COMPLEMENTARIA		1	24954	1
Geología Histórica	302	Sedimentological Impact. Geological Society, London, Special Publications.	COMPLEMENTARIA		1	24950	1
Geología Histórica	302	Gould, S. (1989). La Vida Maravillosa. Burgess Shale y la naturaleza de la historia. Crítica. Barcelona.	COMPLEMENTARIA		0		0
Geología Histórica	302	Gradstein, F. M. (2012). The Geologic Time Scale. Elsevier.	COMPLEMENTARIA		0		0
Geología Histórica	302	Hallam, A. (1981). Facies interpretation and stratigraphic record. Oxford.	COMPLEMENTARIA		1	20723	1
Geología Histórica	302	Langmuir, Ch. H. & Broecker, W. (2012). How to Build a Habitable Planet: The History of Earth from the BigBang to Humankind.	COMPLEMENTARIA		4	24660	1
Geología Histórica	302	Murck, B. & Skinner, B. (1999). Geology today: understanding our planet. John Wiley & Sons Inc.	COMPLEMENTARIA		8	18366	1
Geología Histórica	302	Nichols G. (1999). Sedimentology and Stratigraphy, Second Edition. Wiley – Blackwell.	COMPLEMENTARIA		1	27804	1
Geología Histórica	302	Poblet, J. & Lisle R. J. (2011). Kinematic Evolution and Structural Styles of Fold-and-Thrust Belts. Geological Society, London, Special Publications.	COMPLEMENTARIA		1	25021	1
Geología Histórica	302	Reading, H. G. (1986). Sedimentary Enviroment and Facies, Second Edition, Blackwell.	COMPLEMENTARIA		1	25943	1
Geología Histórica	302	Stanley, S. M. (2009). Earth System History 3ª ed. W.H. Freeman and Company.	COMPLEMENTARIA		2	24681	1
Geología Histórica	302	Tarbuck, E. J. & Lutgens, F. K. (2005). Ciencias de la Tierra. Una introducción a la geología física. Octava edición. Pearson Education, Inc.	COMPLEMENTARIA		3	25951	1
Geología Histórica	302	Vecoli, M., Clément, G. & Meyer-Berthaud, B. (2010). The Terrestrialization Process: Modelling	COMPLEMENTARIA		1	24949	1
Geología Histórica	302	 Wyllie, P. (1971). The dynamic Earth: textbook in geosciences. Jhon Wiley & Sons	COMPLEMENTARIA		1	16250	1
Geotectónica	302	Condie, K. C. (2003). Plate tectonics and crustal evolution. London: Pergamon Press.	OBLIGATORIA		0		0
Geotectónica	302	Frisch, W., Meschede, M. & Blakey, R. (2011). Plate tectonics: continental drift and mountain building. Berlin Heidelberg: Springer-Verlag.	OBLIGATORIA		0		0
Geotectónica	302	Mc Clay, K. R. (1992). Thrust tectonics. London: Chapman and Hall. 	COMPLEMENTARIA		0		0
Geotectónica	302	Twiss, R. J. & Moore, E. (1992). Structural geology. Freeman and Company.	COMPLEMENTARIA		0		0
Geotectónica	302	Moores, E. & Twiss, R. (1995). Tectonics. New York: Freeman and Company.	COMPLEMENTARIA		0		0
Geotectónica	302	Park, R. (1993). Geological structures and moving plates. London: Blackie academic and professional.	COMPLEMENTARIA		0		0
Geotectónica	302	Ranalli, C. (1994). Geology of the Earth. London: Chapman and Hall.	COMPLEMENTARIA		1	2920	1
Estratigrafía y Análisis de Cuencas	302	Arche, A. (2010). Sedimentología: Del Proceso Físico a la Cuenca Sedimentaria Consejo Superior de Investigaciones Científicas.	OBLIGATORIA		8	25003	1
Estratigrafía y Análisis de Cuencas	302	Catunean, O. (2006). Principles of sequence stratigraphy. Elsevier, Amsterdam.	OBLIGATORIA		2	25939	1
Estratigrafía y Análisis de Cuencas	302	Fritz, W. J. & Moore, J. N. (1998). Basics of Physical Stratigraphy and Sedimentology. Ed. John Wiley.	OBLIGATORIA		1	25967	1
Estratigrafía y Análisis de Cuencas	302	Hallam, A. & Freeman, W. H. (1981). Facies Interpretation and The Stratigraphic Record by., Oxford, England.	OBLIGATORIA		1	20723	1
Estratigrafía y Análisis de Cuencas	302	 Hedberg, H. D. (1980). Guía estratigráfica internacional: Guía para la clasificación, terminología y procedimientos estratigráficos. Ed. Reverte.	OBLIGATORIA		1	26187	1
Estratigrafía y Análisis de Cuencas	302	Miall, A. D. (2010). The Geology of stratigraphic sequences. Springer Ed.	OBLIGATORIA		1	22464	1
Estratigrafía y Análisis de Cuencas	302	Nichols, G. (1999). Sedimentology & Stratigraphy. Blackwell Science, Oxford, U.K..	OBLIGATORIA		1	27804	1
Estratigrafía y Análisis de Cuencas	302	Vera Torres, J. A. (1994). Estratigrafía. Principios y Métodos, Rueda.	OBLIGATORIA		1	25959	1
Estratigrafía y Análisis de Cuencas	302	Albarède, F. (1995). Introduction to geochemical modeling. Cambridge: Cambridge University Press.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Anderson, G. M. & Crerar, D. A. (1993). Thermodynamics in geochemistry: The equilibrium model.Oxford: Oxford University Press.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Bowen, R. (1988). Isotopes in the earth science. London: Elsevier Applied Science.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Brownlow, A. H. (1995). Geochemistry. New Jersey: Prentice-Hall.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Davis, J. C. (1973). Statistics and data analysis in geology. New York: John Wiley & Sons.	COMPLEMENTARIA		2	11135	1
Estratigrafía y Análisis de Cuencas	302	Faure, G. (1986). Principles of isotope geology. New York: Wiley.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Faure, G. (1998). Principles and applications of geochemistry. New Jersey: Prentice Hall.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Faure, G. (2001). Origin of the igneous rocks: The isotopic evidence. Berlin: Springer.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Henderson, P. (1982). Inorganic geochemistry. Oxford: Pergamon Press.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Holland, H. D. & Turekian, K. K (2003). Treatise on Geochemistry. Oxford: Elsevier Pergamon.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Le Maitre, R. W. (1982). Numerical petrology: Statistical interpretation of geochemical data. Amsterdam: Elsevier.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Marshall, C. P. & Fairbridge, R. W. (1999). Encyclopedia of Geochemistry (Encyclopedia of Earth Sciences Series). Berlin: Springer.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Mason, B. & Moore, C. B. (1982). Principles of Geochemistry. New York: John Wiley & Sons.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	McSween, H. Y., Richardson, S. M. & Uhle, M. (2003). Geochemistry: Pathways and Processes. New York: Columbia University Press.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Nordstrom, D. K. & Muñoz, J. L. (2006). Geochemical thermodynamics. Caldwell, New Jersey: Blackburn Press.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Rollinson, H. (1993). Using geochemical data: evaluation, presentation, interpretation. New York: Longman Scientific & Technical.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Rose, A. W., Hawkes, H. E. & Webb, J. S. (1979). Geochemistry in mineral exploration. New York: Academic Press.	COMPLEMENTARIA		5	10406	1
Estratigrafía y Análisis de Cuencas	302	Smith, D. G. (1989). The Cambridge Encyclopedia of Earth Sciences. Cambridge: Cambridge University Press.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Walther, J. V. (2009). Essentials of geochemistry. Boston: Jones and Barlett.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	White, W. M. (2013) Geochemistry. Chichester: Wiley-Blackwell.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Zou, H. (2009). Quantitative geochemistry. London: Imperial College Press.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Dabrio, C. & Hernando, S. (2003). Estratigrafía. Colección Geociencias. Facultad de Ciencias Geológicas, U.C.M., Madrid.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Einsele, G. (2000). Sedimentary basins. Evolution, Facies and Sediment Budget. Springer-Verlag, Berlin.	COMPLEMENTARIA		4	22449	1
Estratigrafía y Análisis de Cuencas	302	Hedberg, H. D. (1980). Guía para la clasificación, terminología y procedimientos estratigráficos. Editorial Reverté, S.A.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Leeder, M. R. (1982). Sedimentology. Process and Product. George Allen & Unwin, London. 344 pp.	COMPLEMENTARIA		0		0
Estratigrafía y Análisis de Cuencas	302	Middleton, G. V. & Southard, J. B. (1984). Mechanics of sediment movement. S.E.P.M. Short Course Number 3.	COMPLEMENTARIA		7		1
Estratigrafía y Análisis de Cuencas	302	Reineck, H. E. & Singh, I. B. (1973). Depositional Sedimentary Environments. Springer-Verlag, New Cork.	COMPLEMENTARIA		2	21437	1
Estratigrafía y Análisis de Cuencas	302	Stow, D. A. V. (2007). Sedimentary Rocks in the Field. A colour Guide. Manson Publishing Ltd, London.	COMPLEMENTARIA		2	24933	1
Geofísica	302	Artur-Holmes, A. (1980).Geología Física.  Barcelona: Ed. Omega.	OBLIGATORIA		13	2798	1
Geofísica	302	Cantos-Figuerola, J. (1974). Tratado de Geofísica Aplicada. Madrid, España. Ed. Litoprint.	OBLIGATORIA		1	2879	1
Geofísica	302	Howell, B. F. (1962). Introducción a la Geofísica.  Barcelona, España. Ed. Omega.	OBLIGATORIA		6	2887	1
Geofísica	302	Lozano, C. L. (1972). Introducción a la Geofísica. Madrid, España. Ed. Paraninfo.	OBLIGATORIA		2	2995	1
Geofísica	302	Milton,  B. D. (1961). Introducción a la prospección geofísica. Barcelona, España. Ed.Omega.	OBLIGATORIA		6	302	1
Geofísica	302	Mironov, V. S. (1977). Curso de prospección gravimétrica. España. Ed. Reverté.	OBLIGATORIA		1	2427	1
Geofísica	302	Parasnis, D. S. (1962). Principios de Geofísica Aplicada. Madrid, España. Ed. Paraninfo.	OBLIGATORIA		2	2890	1
Petrogénesis avanzada	302	Francis, J. T. & Verhoogen, J. (1963). Petrología Ígnea y Metamórfica. Barcelona: Omega.	OBLIGATORIA		1	2924	1
Petrogénesis avanzada	302	Winkler, H. (1976). Petrogenesis of Metamorphic rocks. Berlin: Springer.	OBLIGATORIA		2	2979	1
Petrogénesis avanzada	302	Best, M. G. (1995). Igneous and metamorphic petrology. Massachusetts: Blackwell Science.	OBLIGATORIA		3	2637	1
Petrogénesis avanzada	302	Winter, J. (2010). An introduction to igneous and metamorphic petrology. New York: Pearson, Prentice Hall.	OBLIGATORIA		2	23914	1
Petrogénesis avanzada	302	Yardley, B. W. D. (1998). An introduction to metamorphic petrology. London, England: Longman.	OBLIGATORIA		2	11604	1
Petrogénesis avanzada	302	Bucher, K. & Frey, M. (2002). Petrogenesis of Metamorphic Rocks. Berlin/Heidelberg: Springer.	COMPLEMENTARIA		0		0
Petrogénesis avanzada	302	De Paolo, D. J. (1988). Neodymium Isotope Geochemistry. An Introduction. Berlin/Heidelberg: Springer.	COMPLEMENTARIA		0		0
Petrogénesis avanzada	302	Dickinson, W. (1974). Plate tectonics and sedimentation. Society of Economic Paleontologists and Mineralogists, Special Publication.	COMPLEMENTARIA		0		0
Petrogénesis avanzada	302	Faure, G. (1986). Principles of Isotope Geology. New York: John Wyley.	COMPLEMENTARIA		0		0
Petrogénesis avanzada	302	Garrels, R. M. & Mackenzie, F. T. (1971). Evolution of sedimentary rocks. New York: Norton y Cía.	COMPLEMENTARIA		0		0
Petrogénesis avanzada	302	Kornprobst, J. (2002). Metamorphic Rocks and Their Geodynamic Significance. A petrological Handbook. Dordrecht: Kluwer Academic Publishers.	COMPLEMENTARIA		0		0
Petrogénesis avanzada	302	Sigurdsson, H., Houghton, B., Rymer, H., Stix, J. & Metamorphic Rocks and Their Geodynamic SignificanMcNutt, S. (2015). Encyclopedia of Volcanoes. Cambridge: Academic Press.	COMPLEMENTARIA		0		0
Petrogénesis avanzada	302	Spear, F. S. (1993). Metamorphic Phase Equilibria and Pressure-Temperature-Time Paths. Chantilly: Mineralogical Society of America.	COMPLEMENTARIA		0		0
Hidrogeología I 	401	Appelo, C. & Postma, D.  (2005). Geochemistry, Groundwater and Pollution. Leiden: Balkema.	OBLIGATORIA		0		0
Hidrogeología I 	401	Custodio, E. & Llamas, R. (2001). Hidrología subterránea.  arcelona: Omega.	OBLIGATORIA		10	25761	1
Hidrogeología I 	401	Davis, S. & Wiest, R. (1971). Hidrogeología.  arcelona: Arial.	OBLIGATORIA		1	17	1
Hidrogeología I 	401	Drever, J. (2002). The geochemistry of natural waters. Upper Saddle River, N.J.: Prentice Hall.	OBLIGATORIA		0		0
Hidrogeología I 	401	Fetter, C. (2014). Applied hydrogeology. Essex: Pearson Education.	OBLIGATORIA		0		0
Hidrogeología I 	401	Freeze, R. & Cherry, J. (1982). Groundwater. Englewood Cliffs, N.J.: Prentice-Hall.	OBLIGATORIA		0		0
Hidrogeología I 	401	Domenico, P. & Schwartz, F. (1998). Physical and chemical hydrogeology. New York: Wiley.	COMPLEMENTARIA		0		0
Hidrogeología I 	401	Fitts, C. (2017). Groundwater science. Amsterdam: Elsevier Academic Press.	COMPLEMENTARIA		0		0
Hidrogeología I 	401	Hiscock, K. & Bense, V. (2014). Hydrogeology. Hoboken: Wiley.	COMPLEMENTARIA		0		0
Hidrogeología I 	401	Kasenow, M. (2010). Applied ground-water hydrology and well hydraulics. Highlands Ranch, Colo.: Water Resources Publications.	COMPLEMENTARIA		0		0
Hidrogeología I 	401	Merkel, B., Nordstrom, D. & Planer-Friedrich, B. (2008). Groundwater Geochemistry. Berlin, Heidelberg: Springer-Verlag.	COMPLEMENTARIA		0		0
Hidrogeología I 	401	Schwartz, F. & Zhang, H. (2003). Fundamentals of ground water. New York: Wiley.	COMPLEMENTARIA		0		0
Geomorfología	401	Derruau, M. (1991). Geomorfología. Barcelona, España: Editorial Ariel Geografía.	OBLIGATORIA		1	2863	1
Geomorfología	401	Muñoz-Jimenez, J. (1993). Geomorfología General. Madrid, España: Editorial Síntesis.	OBLIGATORIA		1	2962	1
Geomorfología	401	Martinez de Pinzon, E., Tello, B. (1983). Atlas de Geomorfología. Madrid, España, AlianzaEditorial.	OBLIGATORIA		1	2734	1
Metodología de la investigación	401	Benton, M.J. & Harper, D.A.T. (2009). Introduction to Paleobiology and the Fossil Record. WileyBlackwell. 592 p.	OBLIGATORIA		5	26565	1
Metodología de la investigación	401	Bold, H.C., Alexopoulos, C.J. & Delevoryas, T. (1987). Morphology of Plants and Fungi. Harper  and Row Publishers. 912 p.	OBLIGATORIA		1	21695	1
Metodología de la investigación	401	Sues, H.D. & Fraser, N.C. (2010). Triassic Life on Land: The Great Transition. Columbia University Press. 224 p.	OBLIGATORIA		1	25015	1
Metodología de la investigación	401	Vecoli, M., Clement, G. & Meyer-Berthaud, B. (2010). The Terrestrialization Process: Modelling Complex Interactions at the Biosphere-Geosphere Interface. Geological Society Publication. 187 p.	OBLIGATORIA		1	24949	1
Metodología de la investigación	401	Archangelsky, S. (1970). Fundamentos de paleobotánica. Serie Técnica y Didáctica no. 11,Facultad de Ciencias Naturales y Museo, Universidad de la Plata, Argentina, 347 p.	COMPLEMENTARIA		0		0
Metodología de la investigación	401	Behrensmeyer, A. K., Damuth, J. D., DiMichele, W. A., Potts, R., Sues, H.-D. & Wing, S.L. (1992). Terrestrial ecosystems through time - Evolutionary paleoecology of terrestrial plants and animals. The University of Chicago Press.  588 p	COMPLEMENTARIA		0		0
Metodología de la investigación	401	Fraser, N.C. & Sues, H.-D. (2017). Terrestrial Conservation Lagerstatten: Windows into the Evolution of Life on Land. 356 p.	COMPLEMENTARIA		0		0
Metodología de la investigación	401	Damage Types on Compressed Plant Fossils. Version 3.0. Smithsonian Institution, Washington, D.C. 25 p.	COMPLEMENTARIA		0		0
Metodología de la investigación	401	Jones, T.P. & Rowe, N.P. (1999). Fossil Plants and Spores: Modern Techniques. Geological Society Pub House. 396 p.	COMPLEMENTARIA		1	27766	1
Metodología de la investigación	401	Stewart, W. N. & Rothwell., G. W. (1993). Paleobotany and the evolution of plants. 2nd edition. Cambridge University Press, Cambridge. 521 p.	COMPLEMENTARIA		0		0
Metodología de la investigación	401	Taylor, T.N., Taylor, E.L. & Krings, M. (2008). Paleobotany: The Biology and Evolution of Fossil Plants. 2nd Edition. Academic Press. 1252 p.	COMPLEMENTARIA		0		0
Metodología de la investigación	401	Tiffney, B. 1985. Geological factors and the evolution of plants. Yale University Press. 294 p.	COMPLEMENTARIA		0		0
Metodología de la investigación	401	Willis, K. & McElwain, J. The Evolution of Plants. 2nd Edition. Oxford University Press. 425 p.	COMPLEMENTARIA		1	27157	1
Paleobotánica	401	Benton, M.J. & Harper, D.A.T. 2009. Introduction to Paleobiology and the Fossil Record. WileyBlackwell. 592 p.	OBLIGATORIA		5	26565	1
Paleobotánica	401	Bold, H.C., Alexopoulos, C.J. & Delevoryas, T. 1987. Morphology of Plants and Fungi. Harper and Row Publishers. 912 p.	OBLIGATORIA		1	21695	1
Paleobotánica	401	Sues, H.D. & Fraser, N.C. 2010. Triassic Life on Land: The Great Transition. Columbia University Press. 224 p.	OBLIGATORIA		1	25015	1
Paleobotánica	401	Vecoli, M., Clement, G. & Meyer-Berthaud, B. 2010. The Terrestrialization Process: Modelling Complex Interactions at the Biosphere-Geosphere Interface. Geological Society Publication. 187 p.	OBLIGATORIA		1	24949	1
Paleobotánica	401	Archangelsky, S. 1970. Fundamentos de paleobotánica. Serie Técnica y Didáctica no. 11, Facultad de Ciencias Naturales y Museo, Universidad de la Plata, Argentina, 347 p.	COMPLEMENTARIA		0		0
Paleobotánica	401	Behrensmeyer, A. K., Damuth, J. D., DiMichele, W. A., Potts, R., Sues, H.-D. & Wing, S.L. 1992. Terrestrial ecosystems through time - Evolutionary paleoecology of terrestrial plants and animals. The University of Chicago Press.  588 p	COMPLEMENTARIA		0		0
Paleobotánica	401	Fraser, N.C. & Sues, H.-D. 2017. Terrestrial Conservation Lagerstatten: Windows into the Evolution of Life on Land. 356 p.	COMPLEMENTARIA		0		0
Paleobotánica	401	Labandeira, C.C., Wilf, P., Johnson, K.R. & Marsh, F. 2007. Guide to Insect (and Other) Damage Types on Compressed Plant Fossils. Version 3.0. Smithsonian Institution, Washington, D.C. 25 p.	COMPLEMENTARIA		0		0
Paleobotánica	401	Jones, T.P. & Rowe, N.P. 1999. Fossil Plants and Spores: Modern Techniques. Geological Society Pub House. 396 p.	COMPLEMENTARIA		1	27766	1
Paleobotánica	401	Stewart, W. N. & Rothwell., G. W. 1993. Paleobotany and the evolution of plants. 2nd edition. Cambridge University Press, Cambridge. 521 p.	COMPLEMENTARIA		0		0
Paleobotánica	401	Taylor, T.N., Taylor, E.L. & Krings, M. 2008. Paleobotany:The Biolo gy and Evolution of Fossil Plants. 2nd Edition. Academic Press. 1252 p.	COMPLEMENTARIA		0		0
Paleobotánica	401	Tiffney, B. 1985. Geological factors and the evolution of plants. Yale University Press. 294 p.	COMPLEMENTARIA		0		0
Paleobotánica	401	Willis, K. & McElwain, J. The Evolution of Plants. 2nd Edition. Oxford University Press. 425 p.	COMPLEMENTARIA		1	27157	1
Geología de campo I	402	Barnes, J. W. (1991). Basic Geological Mapping. New York: John Wiley & Sons.	OBLIGATORIA		1	26190	1
Geología de campo I	402	McClay, K. R. (1987). The Mapping of Geological Structures. New York:. John Wiley & Sons.	OBLIGATORIA		4	26189	1
Geología Ambiental	402	Keller, E. A. (2011). Environmental Geology. Boston: Pearson.	OBLIGATORIA		1	23912	1
Geología Ambiental	402	Keller, E. A. & Blodgett, R. H. (2007). Riesgos naturales: Procesos de la tierra como riesgos, desastres y catástrofes. Madrid: Pearson	OBLIGATORIA		3	25561	1
Geología Ambiental	402	Strahler, A. N. (1992). Geología Fisica. Barcelona: Omega. Cereceda, P., Errazuriz, A. & Lagos, M. (2011). Terremotos y Tsunamis en Chile. Chile: Origo Ediciones.	OBLIGATORIA		61	3082	1
Geología Económica	402	 Peters, W. C. (1987). Exploration and mining geology. New York: John Wiley. 	OBLIGATORIA		4	981	1
Geología Económica	402	Laznicka, P. (2010). Giant metallic deposits: Future sources of industrial metals. Australia: Springer.	COMPLEMENTARIA		2	23902	1
Seminario de proyecto	402	Millán, A. (1996). Evaluación y factibilidad de proyectos mineros. Santiago: Universitaria.	OBLIGATORIA		13	7324	1
Seminario de proyecto	402	Tamayo, M. (1999). El proceso de la investigacion cientifica: Incluye glosario y manual de evaluacion de proyectos. Mexico: Limusa.	OBLIGATORIA		1	12810	1
Seminario de proyecto	402	Bunge, M. (1989). La investigación científica: su estrategia y filosofía. Barcelona: España.	COMPLEMENTARIA		2	2921	1
Seminario de proyecto	402	González, W. (1990). Aspectos metodológicos de la investigación científica: un enfoque multidisciplinario. Madrid: Universidad Autónoma de Madrid.	COMPLEMENTARIA		5	5383	1
Seminario de proyecto	402	Muñoz, I. (2000). La investigación universitaria hacia el siglo XXI: propuestas y desafíos desde las regiones. Chile: Ediciones Universidad de Tarapacá.	COMPLEMENTARIA		1	17408	1
Hidroquímica y Geoquímica Ambiental	402	Appelo, C. y Postama, D. (2005). Geochemistry, groundwater and pollution. 2ª ed. London: Taylor & Francis.	OBLIGATORIA		0		0
Hidroquímica y Geoquímica Ambiental	402	Drever, J. I. (1982). The geochemistry of natural waters. New York: Prentice-Hall Inc.	OBLIGATORIA		0		0
Hidroquímica y Geoquímica Ambiental	402	Hem, J. D. (1992). Study and interpretation of the chemical characteristics of natural waters. U.S.G.S. Water-Supply Paper 2254.	OBLIGATORIA		0		0
Hidroquímica y Geoquímica Ambiental	402	Langmuir, D. (1997). Aqueous environmental geochemistry. NewJersey: Prentice Hall.	OBLIGATORIA		0		0
Hidroquímica y Geoquímica Ambiental	402	Misra, K. C. (2012). Introduction to geochemistry: Principles and applications. Oxford: Wiley-Blackwell.	OBLIGATORIA		2	23904	1
Hidroquímica y Geoquímica Ambiental	402	Mackenzie, F. T. (2010). Our Changing Planet: An Introduction to Earth System Science and Global Environmental Change, 4° ed. New York: Pearson.	COMPLEMENTARIA		1	26653	1
Hidroquímica y Geoquímica Ambiental	402	Custodio, E. y Llamas, M. R. (1983). Hidrología subterránea. Barcelona: Omega. [Sección 4: Principios básicos de química y radioquímica de aguas subterráneas. pp. 177-282].	COMPLEMENTARIA		10	25761	1
Hidroquímica y Geoquímica Ambiental	402	Custodio, E. y Llamas, M. R. (1983). Hidrología subterránea.  Barcelona: Omega. [Sección 10:Hidrogeoquímica. pp.1005-1098].	COMPLEMENTARIA		10	25761	1
Exploraciones mineras	501	Bustillo Revuelta, M. & López Jimeno, C. (1996). Recursos minerales. topología, prospección, evaluación, explotación, mineralurgía, impacto ambiental. Madrid: Mostoles.	OBLIGATORIA		3	9850	1
Exploraciones mineras	501	Chuvieco, E. (1995). Fundamentos de teledetección espacial. Madrid: RIALP.	OBLIGATORIA		1	2972	1
Exploraciones mineras	501	Dobrin, M. B. & Savit, C. H. (1988). Introduction to Geophysical Prospecting. Estados Unidos:Editorial McGraw-Hill.	OBLIGATORIA		1	9077	1
Exploraciones mineras	501	Ellis, D. V. & Singer, J. M. (2008). Well logging for earth scientists. Amsterdam: Springer.	OBLIGATORIA		0		0
Exploraciones mineras	501	Fontboté, L., Amstutz, G. C., Cardozo, M., Cedillo, E. & Frutos, J. (1990). Stratabound ore deposits in the Andes. Berlín: Springer.	OBLIGATORIA		1	2661	1
Exploraciones mineras	501	Frutos, J., Oyarzún, R. & Pincheira, M. (1985). Geología y recursos minerales de Chile. Concepción. Chile: Universidad de Concepción.	OBLIGATORIA		4	2201	1
Exploraciones mineras	501	Hartman, H. L. (1987). Introductury mining engineering. New York: John Wiley & Sons.	OBLIGATORIA		1	711	1
Exploraciones mineras	501	Hartman, H. L. (1992). SME mining engineering handbook. United States: SME Portcity Press.	OBLIGATORIA		2	373	1
Exploraciones mineras	501	Kearey, P., Brooks, M. & Hill, I. (2002). An Introduction to geophysical exploration. Oxford: Blackwell Science.	OBLIGATORIA		0		0
Exploraciones mineras	501	Koefoed, O. (1979). Geosounding principles: methods in geochemistry and geophysics. Amsterdam: Elsevier Scientific Publishing Company.	OBLIGATORIA		2	21894	1
Exploraciones mineras	501	 Lowrie, W. (2007). Fundamentals of geophysics. Cambridge: Cambridge University Press.	OBLIGATORIA		0		0
Exploraciones mineras	501	Miguel, L. de (1980). Geomagnetismo. Madrid: Instituto Geográfico Nacional	OBLIGATORIA		1	9857	1
Exploraciones mineras	501	Orche, E. (2001). Manual de geología e investigación de yacimientos minerales. Madrid: Carlos Lopez Jimeno.	OBLIGATORIA		1	21150	1
Exploraciones mineras	501	Orellana, E. (1972). Prospección geoeléctrica en corriente continua. Madrid: Paraninfo	OBLIGATORIA		2	2749	1
