PLANILLA DE BIBLIOGRAFÍA OBLIGATORIA Y COMPLEMENTARIA DE LOS PROGRAMAS DE ASIGNATURA 2022							
							
CARRERA:  Traductología y traductor e intérprete Inglés-Español 							
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD EN BTCA.	BIB BTCA.	Prestamos 0
Redacción en Español II	Sexto semestre	Real Academia Española (2004). Gramática de la lengua española. Madrid, España: Calpe.	OBLIGATORIA	25	7	4267	
Redacción en Español II	Sexto semestre	Real Academia Española (2004). Gramática de la lengua española. Madrid, España: Calpe.	OBLIGATORIA	25	7	4267	
Redacción en Español II	Sexto semestre	Sánchez Pérez, A, (2001). Redacción avanzada. México: Thomson Learning.	OBLIGATORIA	25	2	18901	0
Redacción en Español II	Sexto semestre	Vivaldi, M. (2006). Curso de redacción: teoría y práctica de la composición y del estilo. Madrid, España: Thomson Paraninfo.	OBLIGATORIA	25	4	21511	
Redacción en Español II	Sexto semestre	Mignolo, W. (1986). Teoría del texto e interpretación de textos. México: Universidad Nacional Autónoma de México.	COMPLEMENTARIA	25	0		0
Redacción en Español II	Sexto semestre	Pelayo, N. y Cabrera, A. (2002). Lenguaje y comunicación. Caracas, Venezuela: Editorial CEC, SA.	COMPLEMENTARIA	25	0		0
Redacción en Español II	Sexto semestre	Rodríguez, G. (1983). Didáctica de la lengua materna. Valdivia, Chile: Universidad Austral de Chile	COMPLEMENTARIA	25	4	1722-1465	0
Redacción en Español II	Sexto semestre	Fuentes, J. L. (2001). Gramática moderna de la lengua española, 10ª ed. Madrid, España: M. Fernández y Cía., S.A.	COMPLEMENTARIA	25	1	4382	
Redacción en Español II	Sexto semestre	Sánchez Pérez, A., (2001). Redacción avanzada. México: Thomson Learning.	COMPLEMENTARIA	25	2	18901	0
Competencia Comunicativa VI	Sexto semestre	Davis, J., & Liss, R. (2006) Effective Academic Writing 3: The essay. Oxford: Oxford University Press.	COMPLEMENTARIA	25	1	24000	
Competencia Comunicativa VI	Sexto semestre	Murphy, R. (2015) Grammar in Use, fourth edition. New York. Cambridge University Press.	COMPLEMENTARIA	25	22	18172-10050	0
Competencia Comunicativa VI	Sexto semestre	Tilbury, A., et. al. (2013). B2 Upper intermediate Coursebook with e-Portfolio Cambridge. Cambridge University Press.	COMPLEMENTARIA	25	8	26218	0
Competencia Comunicativa VI	Sexto semestre	Vince, M. (2008). Macmillan English Grammar: In Context. London. Macmillan.	COMPLEMENTARIA	25	5	28405	
Competencia Comunicativa VI	Sexto semestre	Gamero, S. (2001). La traducción de textos técnicos. Barcelona: Editorial Ariel.	OBLIGATORIA	25	0		0
Competencia Comunicativa VI	Sexto semestre	García Yebra, V. (1982). Teoría y práctica de la traducción. Gredos, Madrid.	OBLIGATORIA	25	0		0
Competencia Comunicativa VI	Sexto semestre	Orellana, M. (2002). La traducción del inglés al castellano. Santiago: Editorial Universitaria.	OBLIGATORIA	25	1	4453	
Traducción IV	Sexto semestre	"Pavel, S. y Nolet, D. (2002). Manual de terminología. Ontario: Oficina de Traducciones del Gobierno de
Canadá."	OBLIGATORIA	25	0		0
Traducción IV	Sexto semestre	"Alarcón Palma, M.; Sánchez Medina, M. &amp; A. Pecchi Sánchez (2001). Léxico de la minería y la
metalurgia: inglés-español/español-inglés. Concepción, Chile: Universidad de Concepción."	COMPLEMENTARIA	25	0		0
Traducción IV	Sexto semestre	Harmer, J., & Rossner, R. (1991). More than Words. Longman.	OBLIGATORIA	30	0		0
Traducción IV	Sexto semestre	James, C. (1980). Contrastive Analysis. Longman.	OBLIGATORIA	30	0		0
Traducción IV	Sexto semestre	Lado, R. (1968). Linguistic Across Cultures. The University of Michigan Press.	OBLIGATORIA	30	0		0
Análisis Contrastivo II	Sexto semestre	Lewis, M. (1993). The Lexical Approach. London: Comercial Color Press.	OBLIGATORIA	30	0		0
Análisis Contrastivo II	Sexto semestre	Richards, J., Platt, J., & Platt H. (1992). Dictionary of Language Teaching & Applied Linguistics.	OBLIGATORIA	30	0		0
Análisis Contrastivo II	Sexto semestre	Orellana, M. (2003). Glosario internacional para el traductor. Santiago, Chile: Editorial Universitaria.	OBLIGATORIA	20	4	26135	
Análisis Contrastivo II	Sexto semestre	Owens, R. (1996). The Translator’s Handbook. London, England: Aslib.	OBLIGATORIA	20	0		0
Análisis Contrastivo II		Gillies, A. (2017). Note-taking for consecutive interpreting: A short course. London: Routledge.	OBLIGATORIA	20	1	28311	0
Práctica Progresiva IV	Séptimo semestre	"Hernández Sampieri, R. et al. (2010). Metodología de la investigación. México: McGraw Hill. Muñoz, C. (2011). Cómo elaborar y asesorar una investigación de tesis. México: Pearson, Addison-Wesley.
Neunzig, W.y H.Milheiro Tanqueiro (2007). Estudios empíricos en traducción: Enfoques y métodos. Girona: Documenta Universitaria.
Rojo, A. (2013). Diseños y métodos de investigación en traducción. Madrid: Síntesis.
Saldana, G. y S. O'Brien (2014). Research Methodologies in Translation Studies. Londres/Nueva York: Routledge.
Williams, J. y A. Chesterman (2002). The Map. A Beginner's Guide to Doing Research in Translation Studies. Manchester: St. Jerome Publishing.
"	OBLIGATORIA	12	34-6-0-2-0-2	5098-22516-25115-25859-28759/24839-18904/28289/28262	
Práctica Progresiva IV	Séptimo semestre	Hughes, J; Stephenson, H; Dummet, P. (2013). Life: Advanced. United Kingdom: Cheriton House Publishing.	OBLIGATORIA	20	0		0
Electivo III	Séptimo semestre	Davis, J., & Liss, R. (2006) Effective Academic Writing 3: The essay. Oxford: Oxford University Press.	COMPLEMENTARIA	20	1	24000	
Investigación	Séptimo semestre	Doff, A., &Goldstein, Ben. (2011). English Unlimited. C1 Advanced Coursebook. Cambridge. Cambridge University Press.	COMPLEMENTARIA	20	8	26347	
Competencia Comunicativa VII	Séptimo semestre	O'Dell, f., et.al. (2017). English collocations in use: Advanced. Cambridge. Cambridge University Press.	COMPLEMENTARIA	20	1	27164	
Competencia Comunicativa VII	Séptimo semestre	Vince, M. (2008). Macmillan English Grammar: In Context. London. Macmillan.	COMPLEMENTARIA	20	5	28405	
Competencia Comunicativa VII	Séptimo semestre	Byrne, J. (2014). Scientific and Technical Translation Explained: A Nuts and Bolts Guide for Beginners. Saint Jerome Publishing.	OBLIGATORIA	12	1	26220	
Competencia Comunicativa VII	Séptimo semestre	Ewer, J. R., & Latorre, G. (1996). A Course in Basic Scientific English. Longman.	OBLIGATORIA	12	0		0
Competencia Comunicativa VII	Séptimo semestre	García, Y. V., & Gonzalo, G. C. (2004). Manual de documentación y terminología para la traducción especializada. Arco/Libros.	OBLIGATORIA	12	4	27475	
Traducción V	Séptimo semestre	Gonzalo García, C. y V. García Yebra (2005). Documentación, terminología y traducción. Editorial Síntesis.	OBLIGATORIA	12	2	22303	
Traducción V	Séptimo semestre	Herbert, A. J. (1976). The Structure of Technical English. Longman.	OBLIGATORIA	12	1	3878	0
Traducción V	Séptimo semestre	Maillot, J. (1997). La traducción científica y técnica (Versión española de Julia Sevilla Muñoz). Editorial Gredos, S. A.	OBLIGATORIA	12	1	27529	
Traducción V	Séptimo semestre	Martínez López, A. (2010). La traducción de textos médicos especializados para el ámbito editorial (inglés-español). Editorial Comares.	OBLIGATORIA	12	2	26364	
Traducción V	Séptimo semestre	Olohan, M. (2016). Scientific and Technical Translation. Routledge.	OBLIGATORIA	12	1	27273	
Traducción V	Séptimo semestre	Orozco, M. (2016). Metodología de la traducción directa del inglés al español. Materiales didácticos para la traducción general y especializada, 3ra ed. Editorial Comares.	OBLIGATORIA	12	2	27468	
Traducción V	Séptimo semestre	Samuelsson-Brown, G. (2004). A Practical Guide for Translators. Multilingual Matters.	OBLIGATORIA	12	1	22357	
Traducción V	Séptimo semestre	Vázquez-Ayora, G. (1977). Introducción a la traductología. Georgetown University Press.	OBLIGATORIA	12	2	22483	
Traducción V	Séptimo semestre	Sales, S. D. (2005). La biblioteca de Babel: documentarse para traducir. Comares.	OBLIGATORIA	12	2	25927	
Traducción V	Séptimo semestre	Herramientas Tecnológicas Para Traductores Antoni Oliver González · Editorial Uoc, S.L.	OBLIGATORIA		2	27483	
Traducción V	Séptimo semestre	Austermühl, F. (2001). Electronic Tools for Translators. Manchester, England: St. Jerome Publishing.	OBLIGATORIA		0		0
Análisis del Discurso Literario en Inglés	Séptimo semestre	Bowker, L. (2002). Computer-aided Translation Technology: A Practical Introduction. Ottawa: University of Ottawa Press.	OBLIGATORIA		0		0
TIC Aplicada a la Traducción	Séptimo semestre	Somers, Harold (ed.) (2003). Computers and Translation: A Handbook for Translators. Manchester,  England: St. Jerome Publishing.	OBLIGATORIA		0		0
TIC Aplicada a la Traducción	Séptimo semestre	Owens, R. (1996). The Translator’s Handbook. London, England: Aslib.	OBLIGATORIA	20	0		0
TIC Aplicada a la Traducción	Séptimo semestre	Gillies, A. (2017). Note-taking for consecutive interpreting: A short course. London: Routledge.	OBLIGATORIA	20	1	28311	0
TIC Aplicada a la Traducción	Octavo semestre	Hughes, J; Stephenson, H; Dummet, P. (2013). Life: Advanced. United Kingdom: Cheriton House Publishing.	OBLIGATORIA	15	5	28425	0
Práctica Progresiva V	Octavo semestre	Davis, J., & Liss, R. (2006) Effective Academic Writing 3: The essay. Oxford: Oxford University Press.	COMPLEMENTARIA	15	1	24000	
Práctica Progresiva V	Octavo semestre	Doff, A., &Goldstein, Ben. (2011). English Unlimited. C1 Advanced Coursebook. Cambridge. Cambridge University Press.	COMPLEMENTARIA	15	8	26347	
Competencia Comunicativa VIII	Octavo semestre	O'Dell, f., et.al. (2017). English collocations in use: Advanced. Cambridge. Cambridge University Press.	COMPLEMENTARIA	15	1	27164	
Competencia Comunicativa VIII	Octavo semestre	Pizarro, A. (1994). De ostras Y caníbales: Reflexiones sobre la Cultura Latinoamericana. Universidad de Santiago.	OBLIGATORIA		1	7505	0
Competencia Comunicativa VIII	Octavo semestre	Nolan, J. (2005). Interpretation Techniques and Exercises. Texas: Multilingual Matters.	NO INDICA		0		0
Competencia Comunicativa VIII	Octavo semestre	Gile, Daniel. (1995). Basic Concepts and Models for Interpreter and Translator Training. Amsterdam/Philadelphia: John Benjamins Publishing Company.	NO INDICA		0		0
Cultura y Civilización Global	Octavo semestre	Gillies, Andrew. (2010). Note-Taking for Consecutive Interpreting: A Short Course. London/New York: St. Jerome Publishing	NO INDICA		1	28311	0
Traducción a la Vista	Octavo semestre	Hernández Sampieri, R. et al. (2010). Metodología de la investigación. México: McGraw Hill.	OBLIGATORIA	Aún no se dicta	34	5098-22516-25115-25859-28759	
Traducción a la Vista	Octavo semestre	Muñoz, C. (2011). Cómo elaborar y asesorar una investigación de tesis. México: Pearson, Addison-Wesley.	OBLIGATORIA	Aún no se dicta	1	24839	
Traducción a la Vista	Octavo semestre	Neunzig, W.y H.Milheiro Tanqueiro (2007). Estudios empíricos en traducción: Enfoques y métodos. Girona: Documenta Universitaria.	OBLIGATORIA	Aún no se dicta	0		0
Trabajo de grado	Octavo semestre	Rojo, A. (2013). Diseños y métodos de investigación en traducción. Madrid: Síntesis.	OBLIGATORIA	Aún no se dicta	2	28289	
Trabajo de grado	Octavo semestre	Saldana, G. y S. O'Brien (2014). Research Methodologies in Translation Studies. Londres/Nueva York: Routledge.	OBLIGATORIA	Aún no se dicta	0		0
Trabajo de grado	Octavo semestre	Williams, J. y A. Chesterman (2002). The Map. A Beginner's Guide to Doing Research in Translation Studies. Manchester: St. Jerome Publishing.	OBLIGATORIA	Aún no se dicta	0		0
Trabajo de grado	Octavo semestre	Owens, R. (1996). The Translator’s Handbook. London, England: Aslib.	OBLIGATORIA	15	0		0
Trabajo de grado	Octavo semestre	Gillies, A. (2017). Note-taking for consecutive interpreting: A short course. London: Routledge.	OBLIGATORIA	15	1	28311	0
Trabajo de grado	Noveno semestre	Hughes, J; Stephenson, H; Dummet, P. (2013). Life: Advanced. United Kingdom: Cheriton House Publishing.	OBLIGATORIA	15	5	28425	0
Práctica Progresiva VI	Noveno semestre	Davis, J., & Liss, R. (2006) Effective Academic Writing 3: The essay. Oxford: Oxford University Press.	COMPLEMENTARIA	15	1	24000	
Práctica Progresiva VI	Noveno semestre	Doff, A., &Goldstein, Ben. (2011). English Unlimited. C1 Advanced Coursebook. Cambridge. Cambridge University Press.	COMPLEMENTARIA	15	8	26347	
Competencia Comunicativa IX 	Noveno semestre	O'Dell, f., et.al. (2017). English collocations in use: Advanced. Cambridge. Cambridge University Press.	COMPLEMENTARIA	15	1	27164	
Competencia Comunicativa IX 	Noveno semestre	Nolan, J. (2005). Interpretation Techniques and Exercises. Texas: Multilingual Matters.	OBLIGATORIA	15	0		0
Competencia Comunicativa IX 	Noveno semestre	Gile, Daniel. (1995). Basic Concepts and Models for Interpreter and Translator Training. Amsterdam/Philadelphia: John Benjamins Publishing Company	OBLIGATORIA	15	0		0
Competencia Comunicativa IX 	Noveno semestre	Gile, Daniel. (1995). Basic Concepts and Models for Interpreter and Translator Training. Amsterdam/Philadelphia: John Benjamins Publishing Company	OBLIGATORIA	15	0		0
Interpretación Consecutiva I	Noveno semestre	Nolan, J. (2005). Interpretation Techniques and Exercises. Texas: Multilingual Matters.	OBLIGATORIA	15	0		0
Interpretación Consecutiva I	Noveno semestre	Gillies, Andrew. (2010). Note-Taking for Consecutive Interpreting: A Short Course. London/New York: St. Jerome Publishing	OBLIGATORIA	15	1	28311	0
Interpretación de Enlace I	Noveno semestre	Alcaraz Varó E. Y B. Hughes. 2002. El español jurídico. Barcelona, España: Ariel.	OBLIGATORIA	15	2	28328	0
Notación	Noveno semestre	Gómez, L. (2011). Ortografía y Gramática. Las Normas Académicas: Últimos Cambios. Madrid, España: Ediciones SM.	OBLIGATORIA	15	0		0
Práctica Progresiva VII	Noveno semestre	Gillies, A. (2017). Note-taking for consecutive interpreting: A short course. London: Routledge.	OBLIGATORIA	15	1	28311	0
Electivo IV	Noveno semestre	Campbell, S. (1998). Translation into the second Language. Harlow: Longman.	OBLIGATORIA	15	0		0
Electivo IV	Noveno semestre	Collazo, J. L. (1980). Encyclopedic Dictionary of Technical Terms, English-Spanish, Spanish-English. New York: McGraw-Hill.	OBLIGATORIA	15	12	1059	0
Electivo IV	Noveno semestre	Gámez, T. D. (1973). Simon and Schuster's International Dictionary. Diccionario internacional Simon and Schuster. New York: Simon and Schuster.	OBLIGATORIA	15	2	5514	0
Electivo IV	Noveno semestre	Grosman M., Kadric M., Kovaĉiĉ I., Snell Hornby M. (eds.). (2000). Translation into	OBLIGATORIA	15	0		0
Electivo IV	Noveno semestre	Hervey, S., Ian Higgins & Louise M. Hayward (1995). Thinking Spanish Translation. A Course in Translation. London/New York: Routledge. Method: Spanish to English.	OBLIGATORIA	15	1	28314	
Electivo IV	Noveno semestre	Merino, J. y P. H. Sheerin (2013). Manual de traducción inversa español-inglés, 2da Ed. Madrid, España: Anglo-Didacta Publishing.	OBLIGATORIA	15	0		0
Electivo IV	Noveno semestre	Non-Mother Tongues in Professional Practise and Training. Tübingen, Stauffenburg, Verlag. (eds.). (2003). La direccionalidad en traducción e interpretación: perspectivas teóricas, profesionales y didácticas. Granada, España: Atrio.	OBLIGATORIA	15	0		0
Electivo IV	Noveno semestre	Newmark, P., (1999). Manual de traducción. Madrid, España: Ediciones Cátedra.	COMPLEMENTARIA	15	0		0
Electivo IV	Noveno semestre	Orellana, M., (2003). Glosario internacional para el traductor. Santiago, Chile: Editorial Universitaria.	COMPLEMENTARIA	15	1	4387	
Electivo IV	Noveno semestre	Orellana, M, (2002). La traducción del inglés al castellano. Santiago, Chile: Editorial Universitaria.	COMPLEMENTARIA	15	1	4453	
Electivo IV	Noveno semestre	Torrego, L. G. (2011). Ortografía y Gramática. Las normas académicas: Últimos cambios. Madrid, España: SM.	COMPLEMENTARIA	15	0		0
Competencia Comunicativa X 	Décimo semestre	Hughes, J; Stephenson, H; Dummet, P. (2013). Life: Advanced. United Kingdom: Cheriton House Publishing.	OBLIGATORIA	10	5	28425	0
Competencia Comunicativa X 	Décimo semestre	Davis, J., & Liss, R. (2006) Effective Academic Writing 3: The essay. Oxford: Oxford University Press.	COMPLEMENTARIA	10	1	24000	
Competencia Comunicativa X 	Décimo semestre	Doff, A., &Goldstein, Ben. (2011). English Unlimited. C1 Advanced Coursebook. Cambridge. Cambridge University Press.	COMPLEMENTARIA	10	8	26347	
Competencia Comunicativa X 	Décimo semestre	O'Dell, f., et.al. (2017). English collocations in use: Advanced. Cambridge. Cambridge University Press.	COMPLEMENTARIA	10	1	27164	
Competencia Comunicativa X 	Décimo semestre	Gillies, A. (2017). Note-taking for consecutive interpreting: A short course. London: Routledge.	OBLIGATORIA	10	1	28311	0
Competencia Comunicativa X 	Décimo semestre	Nolan, J. (2005).Interpretation Techniques and Exercises. Texas: Multilingual Matters.	OBLIGATORIA	10	0		0
Competencia Comunicativa X 	Décimo semestre	Gillies, A. (2010). Note-taking for consecutive interpreting: a short course. London/New York: St. Jerome Publishing.	OBLIGATORIA	10	1	28311	0
Interpretación Consecutiva II	Décimo semestre	Maillot, J. (1997). La traducción científica y técnica (Trad. J. Sevilla Muñoz). Madrid, España: Gredos.	OBLIGATORIA	10	1	27529	
Interpretación de Enlace II	Décimo semestre	Gamero Pérez, S. (2001). La traducción de textos técnicos: Análisis de géneros. Barcelona, España: Ariel.	OBLIGATORIA	10	0		0
Nemotecnia	Décimo semestre	"Nolan, J. (2005). Interpretation Techniques and Exercises. Texas: Multilingual Matters.
"	OBLIGATORIA	10			0
Nemotecnia	Décimo semestre	Gile,D.(1995). Basic Concepts and Models for Interpreter and Translator Training.	OBLIGATORIA	10	0		0
Nemotecnia	Décimo semestre	"Amsterdam/Philadelphia: John Benjamins Publishing Company 
"	OBLIGATORIA	10	0		0
Nemotecnia	Décimo semestre	Gillies, A. (2010). Note-taking for consecutive interpreting: a short course. London/New York: St. Jerome Publishing.	OBLIGATORIA	10	1	28311	0
Práctica Profesional	Décimo semestre	Maillot, J. (1997). La traducción científica y técnica (Trad. J. Sevilla Muñoz). Madrid, España: Gredos.	OBLIGATORIA	10	1	27529	
Electivo V	Décimo semestre	Gile,D.(1995). Basic Concepts and Models for Interpreter and Translator Training.	OBLIGATORIA	10	0		
